,descricao_objeto,modalidade licitatoria,processo,objeto,valor_estimado,tipo,texto
20,,,000477,, 19.687.204," empreitada por preco unitario, para Contratacao de\nEmpresa para Execucao das Obras de Complementacao da Pavimentacao da Pavimentacao 1 e 2 Etapas\ne Complementacao da Urbanizacao e Mobilidade Urbana da ADE Polo JK, com financiamento do Banco\nInteramericano de Desenvolvimento - BID","(' DE LICITACAO PUBLICA NACIONAL\nPROJETO BR-L 1076 - SDE-DF/BID\nPROCIDADES - PROGRAMA DE DESENVOLVIMENTO\nECONOMICO DO DISTRITO FEDERAL - ADES\nConcorrencia LPN no 03/2019 - SDE/DF - do tipo empreitada por preco unitario, para Contratacao de\nEmpresa para Execucao das Obras de Complementacao da Pavimentacao da Pavimentacao 1 e 2 Etapas\ne Complementacao da Urbanizacao e Mobilidade Urbana da ADE Polo JK, com financiamento do Banco\nInteramericano de Desenvolvimento - BID. - processo n.o 0370-000477/2016 - valor estimado da\ncontratacao: R$ 19.687.204,33 - Programa de Trabalho 22.661.6207.5021.0001 - Modernizacao e Melhoria\nda Infraestrutura das Areas de Desenvolvimento Economico do DF, PROCIDADES /DF, natureza de\ndespesa 4.4.90.51, Obras e Instalacoes - fonte 136 - Prazo de Execucao: 270 (duzentos e setenta) dias\ncorridos - Prazo de Vigencia do contrato: 480 (quatrocentos e oitenta) dias corridos - Data e horario de\nrealizacao da licitacao: 11 de novembro de 2019 - as 10:30 horas (horario de Brasilia). A Comissao\nEspecial de Licitacao da SDE torna publico aos interessados na reabertura da licitacao acima na data e\nhorario indicados, na sede desta SDE, sito no Setor Comercial Norte, Quadra 02, Bloco ""C"", N 900, 2o\nandar - Asa Norte - Brasilia - DF. O edital e seus anexos deverao ser retirados conforme instrucoes\ncontidas exclusivamente no endereco eletronico site: http://www.sde.df.gov.br//, na pagina principal, aba\n""licitacoes"", para maiores informacoes sobre o certame', '')"
21,,nPREGAO,,,,,"('\nPREGAO ELETRONICO POR SRP No 113/2019 - UASG 926119\nObjeto: Aquisicao em Sistema de Registro de Precos de material de ORTESES, PROTESES E\nMATERIAIS ESPECIAIS (OPME) -GRAMPEADORES E CARGAS, com materiais contemplados e nao\ncontemplados na Tabela SUS DE OPME do Ministerio da Saude, para atender as necessidades da\nSecretaria de Saude - DF, conforme especificacoes e quantitativos constantes no Anexo I deste Edital', '')"
22,,nPREGAO,00050-00028014/2019-20," Registro de precos para futura\naquisicao de materiais de higiene pessoal, limpeza e conservacao, cama, copa, leite materno infantil,\nmaterial escolar e material de atividade esportiva para atender demanda dos internos do Sistema\nPenitenciario e para atender demanda da Subsecretaria do Sistema Penitenciario da Secretaria de Estado de\nSeguranca Publica do Distrito Federal",, Menor Preco,"(' DE LICITACAO\nPREGAO ELETRONICO No 27/2019\nProcesso: 00050-00028014/2019-20. TIPO: Menor Preco. OBJETO: Registro de precos para futura\naquisicao de materiais de higiene pessoal, limpeza e conservacao, cama, copa, leite materno infantil,\nmaterial escolar e material de atividade esportiva para atender demanda dos internos do Sistema\nPenitenciario e para atender demanda da Subsecretaria do Sistema Penitenciario da Secretaria de Estado de\nSeguranca Publica do Distrito Federal. A SSP informa que reabrira a Sessao Publica do Pregao em\nepigrafe no dia 01/11/2019 as 10:00h', '')"
23,,nPREGAO,00053-00071037/2019-70," Contratacao de empresa\nhomologada pela Agencia Nacional de Aviacao Civil (ANAC), nos termos do RBAC 145, para prestacao\nde servicos de 1 e 2 niveis de manutencao (preventivas e corretivas), pertencentes ao CBMDF, conforme\nEdital e anexos",, Menor preco,"('', '\nPREGAO ELETRONICO No 62/2019\nProcesso: 00053-00071037/2019-70/CBMDF. Tipo: Menor preco. Objeto: Contratacao de empresa\nhomologada pela Agencia Nacional de Aviacao Civil (ANAC), nos termos do RBAC 145, para prestacao\nde servicos de 1 e 2 niveis de manutencao (preventivas e corretivas), pertencentes ao CBMDF, conforme\nEdital e anexos. O DICOA informa a NOVA ABERTURA da licitacao publicada inicialmente no DODF\nNo 196 e DOU No 199 ambos de 14/10/2019, para o dia 13/112019 as 13:30h. LOCAL: site:\nwww.comprasnet.gov.br. RETIRADA DO EDITAL pela internet, nos sites www.cbm.df.gov.br e\nwww.comprasnet.gov.br. UASG: 170394. Inf.: (61) 3901-3481')"
24,,nPREGAO,00053-00079982/2019-10," Aquisicao de cadeiras\nodontologicas, equipos, unidades auxiliares, refletores, mochos, moveis modulares e bomba a vacuo\napropriados a consultorios odontologicos, para utilizacao na Policlinica Odontologica do CBMDF,\nconforme Edital e anexos",," Menor preco; Objeto: Aquisicao de cadeiras\nodontologicas, equipos, unidades auxiliares, refletores, mochos, moveis modulares e bomba a vacuo\napropriados a consultorios odontologicos, para utilizacao na Policlinica Odontologica do CBMDF,\nconforme Edital e anexos","('', '\nPREGAO ELETRONICO No 73/2019\nProcesso:00053-00079982/2019-10/CBMDF; Tipo: Menor preco; Objeto: Aquisicao de cadeiras\nodontologicas, equipos, unidades auxiliares, refletores, mochos, moveis modulares e bomba a vacuo\napropriados a consultorios odontologicos, para utilizacao na Policlinica Odontologica do CBMDF,\nconforme Edital e anexos. O DICOA informa a NOVA ABERTURA da licitacao publicada inicialmente no\nDODF No 198 e DOU No 201 ambos de 15/08/2019, para o dia 13/11/2019 as 13:30h. LOCAL: site:\nwww.comprasnet.gov.br. RETIRADA DO EDITAL pela internet, nos sites www.cbm.df.gov.br e\nwww.comprasnet.gov.br. UASG: 170394. Inf.: (61) 3901-3481')"
25,,nPREGAO,00040-00005069/2019-07," e a\ncontratacao de empresa especializada para prestacao de servicos continuados e sazonais, visando a\nimplantacao e o fornecimento de solucao global de Contact Center, para atender os canais dos servicos da\nCentral de Atendimento ao Cidadao do Distrito Federal - Central 156, envolvendo recursos materiais,\ntecnologicos e humanos, incluindo pesquisas qualitativas e quantitativas, aplicacao de metodos, tecnicas e\npadroes de interacao e relacionamento com os usuarios por meio de multicanais, foi marcada para o dia 29\nde outubro de 2019 as 09:30h no site www.comprasgovernamentais.gov.br", 12.505.844, de Licitacao: Menor preco,"('', '\nPREGAO ELETRONICO No 23/2019 - COLIC/SCG/SAGA/SEEC/DF -\nUASG 925041\nO Pregoeiro comunica aos interessados que a nova abertura do Pregao em epigrafe, cujo objeto e a\ncontratacao de empresa especializada para prestacao de servicos continuados e sazonais, visando a\nimplantacao e o fornecimento de solucao global de Contact Center, para atender os canais dos servicos da\nCentral de Atendimento ao Cidadao do Distrito Federal - Central 156, envolvendo recursos materiais,\ntecnologicos e humanos, incluindo pesquisas qualitativas e quantitativas, aplicacao de metodos, tecnicas e\npadroes de interacao e relacionamento com os usuarios por meio de multicanais, foi marcada para o dia 29\nde outubro de 2019 as 09:30h no site www.comprasgovernamentais.gov.br. Cadastramento das Propostas a\npartir de 15/10/2019 as 08h00. Tipo de Licitacao: Menor preco. Total de grupos Licitados: 1. Valor total\nestimado: R$ 12.505.844,16. Prazo de entrega e instalacao: ate 60 (sessenta) dias corridos. Prazo de\nvigencia: de 12 (doze) meses. Endereco: Anexo do Palacio do Buriti, 5o andar, sala 504-CEP: 70.075.900-\nBrasilia-DF. Processo-SEI n.o: 00040-00005069/2019-07. Informacoes: Coordenacao de Licitacoes-\nCOLIC/SEGA/SEEC-DF, telefone: 0xx(61) 3313.8497')"
26,,nPREGAO,," Aquisicao de Sistema de\nUltrassom para Radiologia Geral, para utilizacao na Secao de Radiologia da POMED do CBMDF,\nconforme Edital e anexos",, Menor preco,"('', '\nPREGAO ELETRONICO No 53/2019\nPROCESSO: 053-00067614/2019-29/CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de Sistema de\nUltrassom para Radiologia Geral, para utilizacao na Secao de Radiologia da POMED do CBMDF,\nconforme Edital e anexos. O DICOA informa a NOVA ABERTURA da licitacao publicada inicialmente\nno DODF No 192 e DOU No 195 ambos de 08/10/2019, para o dia 25/10/2019 as 13:30h. LOCAL: site:\nwww.comprasnet.gov.br. RETIRADA DO EDITAL pela internet, nos sites www.cbm.df.gov.br e\nwww.comprasnet.gov.br. UASG: 170394. Inf.: (61) 3901-3481')"
27,,nPREGAO,00060-00147924/2019-73," Aquisicao regular de medicamento (ACIDO ZOLEDRONICO 4 MG PO LIOFILIZADO OU\nSOLUCAO INJETAVEL OU FRASCO e outros), em sistema de registro de precos, para atender as\nnecessidades da Secretaria de Saude - DF", 14.203.391,,"('\nPREGAO ELETRONICO POR SRP No 225/2019 - UASG 926119\nObjeto: Aquisicao regular de medicamento (ACIDO ZOLEDRONICO 4 MG PO LIOFILIZADO OU\nSOLUCAO INJETAVEL OU FRASCO e outros), em sistema de registro de precos, para atender as\nnecessidades da Secretaria de Saude - DF. Processo SEI no: 00060-00147924/2019-73. 13 itens (Ampla\nconcorrencia com cota e participacao exclusiva as ME/EPP), Valor Estimado: R$ 14.203.391,91', '')"
28,,nPREGAO,," Aquisicao regular dos produtos FORMULA PEDIATRICA PARA NUTRICAO ENTERAL OU\nORAL e outros em sistema de registro de precos, para atender as necessidades da Secretaria de Saude -\nDF, conforme especificacoes e quantitativos constantes no Anexo I do Edital", R$\n7.091.566,,"('\nPREGAO ELETRONICO POR SRP No 242/2019 - UASG 926119\nObjeto: Aquisicao regular dos produtos FORMULA PEDIATRICA PARA NUTRICAO ENTERAL OU\nORAL e outros em sistema de registro de precos, para atender as necessidades da Secretaria de Saude -\nDF, conforme especificacoes e quantitativos constantes no Anexo I do Edital. Processo SEI no: 00060-\n00167316/2019-85. Total de 18 itens (Ampla concorrencia com cotas as ME/EPP). Valor Estimado: R$\n7.091.566,5930. Cadastro das Propostas: a partir de 22/10/2019. Abertura das Propostas: 04/11/2019, as 09\nhoras, horario de Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus,\nno site ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte\n- Bloco ""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
29,,nPREGAO,00060-00018180/2019-81," Aquisicao regular do medicamento MEROPENEM PO INJETAVEL 1 G e outros, em sistema de\nregistro de precos, para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e\nquantitativos constantes no Anexo I do Edital", 15.297.057,,"('\nPREGAO ELETRONICO POR SRP No 228/2019 - UASG 926119\nObjeto: Aquisicao regular do medicamento MEROPENEM PO INJETAVEL 1 G e outros, em sistema de\nregistro de precos, para atender as necessidades da Secretaria de Saude - DF, conforme especificacoes e\nquantitativos constantes no Anexo I do Edital. Processo SEI no: 00060-00018180/2019-81. 22 itens (Ampla\nconcorrencia com cota exclusiva as ME/EPP). Valor Estimado: R$ 15.297.057,0528. Cadastro das Propostas: a\npartir de 16/10/2019. Abertura das Propostas: 29/10/2019 as 09 horas, horario de Brasilia, no site\nwww.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco:\nSAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de\nCompras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
30,,nPREGAO,00053-00015405/2019-08,,, Menor preco,"('', '\nPREGAO ELETRONICO No 15/2019\nPROCESSO: 00053-00015405/2019-08/CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de Monitor\nCardioversor Portatil de urgencia, destinado ao uso em aeronaves do CBMDF, conforme Edital e anexos')"
31,,nPREGAO,00055.00120587/2018-92," Contratacao de\nempresa especializada, por meio de licitacao, para execucao, em regime de 24x7x365 (24 horas do dia, sete\ndias por semana, todos os dias do ano), de ""Servicos de Manutencao do Sistema de Controle Semaforico\ndo Distrito Federal"", instalada e em operacao na EQS 706/906 Brasilia/DF, incluindo equipamentos,\nmateriais, pecas de reposicao e consumiveis de manutencao, conforme condicoes, especificacoes,\nquantidades e exigencias estabelecidas no Termo de Referencia e seus anexos, constantes do ANEXO A do\nEdital", 18.365.007, Menor Preco Global,"('\nEncontra-se a disposicao dos interessados, no site www.comprasgovernamentais.gov.br o seguinte Edital:\nPREGAO ELETRONICO No 18/2018\nProcesso no: 00055.00120587/2018-92. UASG: 926142. Tipo: Menor Preco Global. Objeto: Contratacao de\nempresa especializada, por meio de licitacao, para execucao, em regime de 24x7x365 (24 horas do dia, sete\ndias por semana, todos os dias do ano), de ""Servicos de Manutencao do Sistema de Controle Semaforico\ndo Distrito Federal"", instalada e em operacao na EQS 706/906 Brasilia/DF, incluindo equipamentos,\nmateriais, pecas de reposicao e consumiveis de manutencao, conforme condicoes, especificacoes,\nquantidades e exigencias estabelecidas no Termo de Referencia e seus anexos, constantes do ANEXO A do\nEdital. Abertura: 09 de agosto de 2019, as 14 horas. Valor total estimado: R$ 18.365.007,42. Dotacao\nOrcamentaria: 237/437 06 181 6217 2469 9520 339039/339030/449052. As empresas e ou representantes\nque adquirirem o edital obrigam-se a acompanhar o Diario Oficial da Uniao sobre possiveis alteracoes', '')"
32,,nPREGAO,00060-00231641/2017-47," Contratacao de empresa para fornecimento e entrega de insumos para DIALISE\nPERITONEAL AMBULATORIAL CONTINUA - DPAC e DIALISE PERITONEAL AUTOMATICA\n- DPA no domicilio do paciente, em regime de COMODATO, com fornecimento de equipamentos\nautomatizados para a realizacao do tratamento, para atender as necessidades da Secretaria de Saude\n- DF, conforme especificacoes e quantitativos constantes no Anexo I do Edital",,,"('\nPREGAO ELETRONICO POR SRP No 56/2019 - UASG 926119\nObjeto: Contratacao de empresa para fornecimento e entrega de insumos para DIALISE\nPERITONEAL AMBULATORIAL CONTINUA - DPAC e DIALISE PERITONEAL AUTOMATICA\n- DPA no domicilio do paciente, em regime de COMODATO, com fornecimento de equipamentos\nautomatizados para a realizacao do tratamento, para atender as necessidades da Secretaria de Saude\n- DF, conforme especificacoes e quantitativos constantes no Anexo I do Edital. Processo SEI no:\n00060-00231641/2017-47. Total de 02 LOTES (Ampla concorrencia e cotas as ME/EPP). Valor\nEstimado: R$ 8.106.367,86. Cadastro das Propostas: a partir de 18/07/2019. Abertura das Propostas:\n01/08/2019, as 09 horas, horario de Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se\ndisponibilizado sem onus, no site ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte\n- Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da SUAG/SES,\nCEP 70770-200, Brasilia/DF', '')"
33,,nPREGAO,00053-00036160/2019-44," Aquisicao de tendas\npiramidais para as OBM's operacionais e de ensino do CBMDF, conforme Edital e anexos",, Menor preco,"('', ""\nPREGAO ELETRONICO No 19/2019\nPROCESSO: 00053-00036160/2019-44/CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de tendas\npiramidais para as OBM's operacionais e de ensino do CBMDF, conforme Edital e anexos. O DICOA\ninforma a NOVA ABERTURA da licitacao publicada no DODF No 129 e DOU No 132 ambos de\n11/07/2019, para o dia 26/07/2019 as 13:30h. LOCAL: site: www.comprasnet.gov.br. RETIRADA DO\nEDITAL pela internet, nos sites www.cbm.df.gov.br e www.comprasnet.gov.br. UASG: 170394. Inf.: (61)\n3901-3481. Marcelo Teixeira Dantas - Cel. QOBM/Combatente - Diretor"")"
34,,nPREGAO,00070-00000277/2019-08," Contratacao, por meio do Sistema de Registro\nde Precos, de empresa especializada na prestacao de servicos continuados de terceirizacao de mao-de-obra\nde apoio as atividades operacionais e administrativas, de carater subsidiario (operador de maquinas\nagricolas e de terraplanagem, motorista - CNH categoria ""D"", carregador/estiva, tratador de animais,\nvaqueiro, tratador de animais para piscicultura, auxiliar de jardinagem), para atender a Secretaria de Estado\nda Agricultura, Abastecimento e Desenvolvimento Rural do DF, conforme quantitativos e especificacoes\ncontidas no Termo de Referencia e demais Anexos que integram o edital, com novo valor Total estimado\nde R$ 7.249.367,16, (sete milhoes duzentos e quarenta e nove mil, trezentos e sessenta e sete reais e\ndezesseis centavos)", 7.249.367," (SRP), no 06/2019, MENOR PRECO GLOBAL, na modalidade de PREGAO na forma\nELETRONICA, com nova previsao de abertura do certame para 22/07/2019, 09h00min, horario de\nBrasilia, Processo 00070-00000277/2019-08 (SEI)","(' DE LICITACAO (UASG) 926523\nPREGAO ELETRONICO (SRP) No 06/2019\nA SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO\nRURAL DO DISTRITO FEDERAL - SEAGRI/,DF, torna publico, que apos a insercao de itens destinados\nas entidades preferenciais amparadas pela Lei no 123/2006 no presente Edital, realiza a reabertura da\nlicitacao do tipo (SRP), no 06/2019, MENOR PRECO GLOBAL, na modalidade de PREGAO na forma\nELETRONICA, com nova previsao de abertura do certame para 22/07/2019, 09h00min, horario de\nBrasilia, Processo 00070-00000277/2019-08 (SEI).OBJETO: Contratacao, por meio do Sistema de Registro\nde Precos, de empresa especializada na prestacao de servicos continuados de terceirizacao de mao-de-obra\nde apoio as atividades operacionais e administrativas, de carater subsidiario (operador de maquinas\nagricolas e de terraplanagem, motorista - CNH categoria ""D"", carregador/estiva, tratador de animais,\nvaqueiro, tratador de animais para piscicultura, auxiliar de jardinagem), para atender a Secretaria de Estado\nda Agricultura, Abastecimento e Desenvolvimento Rural do DF, conforme quantitativos e especificacoes\ncontidas no Termo de Referencia e demais Anexos que integram o edital, com novo valor Total estimado\nde R$ 7.249.367,16, (sete milhoes duzentos e quarenta e nove mil, trezentos e sessenta e sete reais e\ndezesseis centavos). O novo Edital podera ser retirado a partir da sua publicacao no endereco:\nwww.comprasgovernamentais.gov.br. e portal da SEAGRI/DF, ""Edital""', '')"
35,,nPREGAO,00060.00101357/2018-28," Contratacao de SERVICOS GRAFICOS, redacao, editoracao, ilustracao, padronizacao,\ndiagramacao, publicacao, impressao e versao digital dos LIVROS: ASSISTENCIA AO RECEM\nNASCIDO DE RISCO - 4a edicao e NEUROSSONOGRAFIA NEONATAL - 4a edicao, incluindo\nprova de impressao, acabamento, embalagem, empacotamento, etiquetagem e entrega, para atender a\ndemanda da Secretaria de Estado de Saude do Distrito Federal, conforme especificacoes e\nquantitativos constantes no Anexo I do Edital", 311.375,,"('\nPREGAO ELETRONICO No 49/2019 - UASG 926119\nObjeto: Contratacao de SERVICOS GRAFICOS, redacao, editoracao, ilustracao, padronizacao,\ndiagramacao, publicacao, impressao e versao digital dos LIVROS: ASSISTENCIA AO RECEM\nNASCIDO DE RISCO - 4a edicao e NEUROSSONOGRAFIA NEONATAL - 4a edicao, incluindo\nprova de impressao, acabamento, embalagem, empacotamento, etiquetagem e entrega, para atender a\ndemanda da Secretaria de Estado de Saude do Distrito Federal, conforme especificacoes e\nquantitativos constantes no Anexo I do Edital. Processo SEI no 00060.00101357/2018-28. Total de 02\nlotes (Ampla concorrencia). Valor Estimado: R$ 311.375,2820. Cadastro das Propostas: a partir de\n19/07/2019. Abertura das Propostas: 31/07/2019, as 09 horas, horario de Brasilia, no site\nwww.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no\nendereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1\nandar, sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
36,,nPREGAO,00053-00055513/2018-24," Aquisicao de motosserras\ne equipamentos motorizados para o CBMDF, conforme Edital e anexos",, Menor preco,"('', '\nPREGAO ELETRONICO No 21/2019\nPROCESSO: 00053-00055513/2018-24/CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de motosserras\ne equipamentos motorizados para o CBMDF, conforme Edital e anexos. O DICOA informa a NOVA\nABERTURA da licitacao publicada no DODF No 116 de 24/06/2019 e DOU No 118 de 21/06/2019, para\no dia 17/07/2019 as 13:15h. LOCAL: site: www.comprasnet.gov.br. RETIRADA DO EDITAL pela\ninternet, nos sites www.cbm.df.gov.br e www.comprasnet.gov.br. UASG: 170394. Inf.: (61) 3901-3481')"
37,,nPREGAO,00053-00040945/2019-11," Aquisicao de aparelhos\nodontologicos: raio X de parede digital, ultrassom piezoeletrico e jato de bicarbonato, e aparelho\nfotopolimerizador para uso na Policlinica Odontologica do CBMDF, conforme Edital e anexos",, Menor preco,"('', '\nPREGAO ELETRONICO No 27/2019\nPROCESSO No 00053-00040945/2019-11-CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de aparelhos\nodontologicos: raio X de parede digital, ultrassom piezoeletrico e jato de bicarbonato, e aparelho\nfotopolimerizador para uso na Policlinica Odontologica do CBMDF, conforme Edital e anexos. O DICOA\ninforma a NOVA ABERTURA da licitacao constante no DODF No 120 e DOU No 123 ambos de\n28/06/2019, para o dia 22/07/2019 as 13:30h. LOCAL: site: www.comprasnet.gov.br. RETIRADA DO\nEDITAL pela internet, nos sites www.cbm.df.gov.br e www.comprasnet.gov.br. UASG: 170394. Inf.: (61)\n3901-3481. MARCELO TEIXEIRA DANTAS - Cel. QOBM/Combatente - Diretor')"
38,,nPREGAO,00060-00101357/2018-28," Contratacao de SERVICOS GRAFICOS, redacao, editoracao, ilustracao, padronizacao, diagramacao,\npublicacao, impressao e versao digital dos LIVROS: ASSISTENCIA AO RECEM NASCIDO DE RISCO - 4a\nedicao e NEUROSSONOGRAFIA NEONATAL - 4a edicao, incluindo prova de impressao, acabamento,\nembalagem, empacotamento, etiquetagem e entrega, para atender a demanda da Secretaria de Estado de Saude\ndo Distrito Federal, conforme especificacoes e quantitativos constantes no Anexo I do Edital", 311.375,,"('\nPREGAO ELETRONICO POR SRP No 49/2019 - UASG 926119\nObjeto: Contratacao de SERVICOS GRAFICOS, redacao, editoracao, ilustracao, padronizacao, diagramacao,\npublicacao, impressao e versao digital dos LIVROS: ASSISTENCIA AO RECEM NASCIDO DE RISCO - 4a\nedicao e NEUROSSONOGRAFIA NEONATAL - 4a edicao, incluindo prova de impressao, acabamento,\nembalagem, empacotamento, etiquetagem e entrega, para atender a demanda da Secretaria de Estado de Saude\ndo Distrito Federal, conforme especificacoes e quantitativos constantes no Anexo I do Edital. Processo SEI no:\n00060-00101357/2018-28. Total de 02 lotes. Valor Estimado: R$ 311.375,2820. Edital e Cadastro das\nPropostas: a partir de 02/07/2019. Abertura das Propostas: 12/07/2019 as 10 horas, horario de Brasilia, no site\nwww.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco:\nSAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de\nCompras da SUAG/SES, CEP 70770-200, Brasilia/DF', '')"
39,,,,,,,"(' DE DISPENSA DE LICITACAO\nA Subsecretaria de Administracao Geral/SES-DF comunica a reabertura da Dispensa de Licitacao no\n028/2018-Nucleo de Judicializacao/SES, tipo menor preco, em carater emergencial, para aquisicao do\nmaterial OPME PROTESE TOTAL DE QUADRIL NAO CIMENTADA METAL/POLIETILENO', '')"
40,,,00020-00017403/2017-70,,," menor preco, em carater emergencial, para aquisicao do\nmaterial OPME ARTROPLASTIA TOTAL DE QUADRIL (REVISAO)","(' DE DISPENSA DE LICITACAO\nA Subsecretaria de Administracao Geral/SES-DF comunica a reabertura da Dispensa de Licitacao no\n102/2017-Nucleo de Judicializacao/SES, tipo menor preco, em carater emergencial, para aquisicao do\nmaterial OPME ARTROPLASTIA TOTAL DE QUADRIL (REVISAO). Procedimento ocorrera nos\ntermos da Lei no 8.666/93 e do Termo de Referencia - Diretoria de Programacao de Ortese e Protese -\nDIPOP/SULOG/SES. Processo no 00020-00017403/2017-70. O recebimento das propostas juntamente com\nas documentacoes autenticadas, sera ate as 17h00min, do dia 25 de marco de 2019 para nosso endereco:\neletronico (compras.jud@gmail.com) em formato (PDF)', '')"
41,,nPREGAO,," Aquisicao de seguro para 86 (oitenta e seis) veiculos automotores do SAMU 192 DF, com\nindenizacao 100% (cem por cento) da tabela FIPE para o veiculo segurado, franquia normal e com as\nseguintes coberturas: colisao, roubo, furto, incendio, vidros, retrovisores, assistencia 24h (vinte e quatro\nhoras) com reboque limitado a no minimo 200 km, danos materiais e corporais a terceiros, indenizacao\npessoal a ocupantes do veiculo e indenizacao por morte acidental e invalidez permanente, conforme\nespecificacoes e quantitativos constantes no anexo I do edital",,,"('\nPREGAO ELETRONICO POR SRP No 495/2018 - UASG 926119\nObjeto: Aquisicao de seguro para 86 (oitenta e seis) veiculos automotores do SAMU 192 DF, com\nindenizacao 100% (cem por cento) da tabela FIPE para o veiculo segurado, franquia normal e com as\nseguintes coberturas: colisao, roubo, furto, incendio, vidros, retrovisores, assistencia 24h (vinte e quatro\nhoras) com reboque limitado a no minimo 200 km, danos materiais e corporais a terceiros, indenizacao\npessoal a ocupantes do veiculo e indenizacao por morte acidental e invalidez permanente, conforme\nespecificacoes e quantitativos constantes no anexo I do edital. Processo SEI no: 00060.0018705/2018-05', '')"
42,,,000.467,,,,"(' DE\nLICITACAO PUBLICA NACIONAL (*)\nPROJETO BR-L 1076 - SDE-DF/BID\nPROCIDADES - PROGRAMA DE DESENVOLVIMENTO ECONOMICO DO DISTRITO FEDERAL\n- ADES\nConcorrencia LPN no 04/2018 - SDE/DF -, Licitacao Publica Nacional para a contratacao de empresa\npara a Execucao dos Servicos de Analises Laboratoriais para o Programa de Controle de Efluentes\nNao Domesticos, processo no 370.000.467/2016 - Projeto N BR-L1076, PROCIDADES/DF, data e\nhorario de realizacao da licitacao: 15 de abril de 2019 - as 10:30 horas (horario de Brasilia). A\nComissao Especial de Licitacao da SDE torna publico aos interessados a abertura da licitacao acima\nna data e horario indicados, na Sede desta SDE, sito no Setor Comercial Norte SCN, Quadra 02,\nBloco ""C"", N900- Asa Norte - Brasilia - DF', '')"
43,,nPREGAO,00060-00478770/2018-88," Aquisicao de material de consumo de CURATIVO ABSORVENTE e outros em\nsistema de registro de precos para atender as necessidades da Secretaria de Saude - DF,\nconforme especificacoes e quantitativos constantes no Anexo I do Edital", 7.596.057,,"('\nPREGAO ELETRONICO POR SRP No 22/2019 - UASG 926119\nObjeto: Aquisicao de material de consumo de CURATIVO ABSORVENTE e outros em\nsistema de registro de precos para atender as necessidades da Secretaria de Saude - DF,\nconforme especificacoes e quantitativos constantes no Anexo I do Edital. Processo SEI no:\n00060-00478770/2018-88. Total de 19 itens (ampla concorrencia, exclusivo as ME/EPP e\ncotas reservas as ME/EPP). Valor Estimado: R$ 7.596.057,7938. Edital e Cadastro das\nPropostas: a partir de 27/03/2019. Abertura das Propostas: 08/04/2019 as 09 horas, horario de\nBrasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no\nsite ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no -\nAsa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da SUAG/SES, CEP 70770-\n200, Brasilia/DF', '')"
44,,nPREGAO,00080-00009929/2019-24,,,,"(' DE LICITACAO\nPREGAO ELETRONICO SRP No 14/2016\n(UASG 450432)\nO Pregoeiro da Secretaria de Estado de Educacao do Distrito Federal comunica aos interessados que os\nlotes 02 e 03 do pregao em epigrafe voltarao a fase de os itens 2 e 3 de Habilitacao, tendo em vista a\ndesclassificacao das Propostas de Precos para os referidos lotes, da empresa Solucoes Servicos\nTerceirizados Eirelli motivada pela analise tecnica proferida pelo setor Contabil desta Secretaria no\nProcesso Sei no 00080-00009929/2019-24. Fica agendada a data de 20/03/2019 as 14:30 a data de\ncontinuidade dos procedimentos relativos ao pregao 14/2016. Os autos encontram-se com vistas fraqueadas\naos interessados', '')"
