,treated_text
165,"Espécie: Contrato nº 052/2018-SES/DF. Partes: DISTRITO FEDERAL, por intermédio de sua SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL e a empresa NEPHRON BRASÍLIA SERVIÇOS MÉDICOS LTDA. CNPJ nº 32.911.992/0002-86. ObJeto: Jeto: prestação de serviços de Nefrologia para Terapia Renal SubstitutivaHemodiális Hemodiális na Região Administrativa de Taguatinga, consoante especifica nos termos da Proposta da empresa presa (7141570), Autorização e Ratificação da Inexigibilidade de Licitação (7143020 e 7143451), com fulcro no Antigo 25, caput, c/c Artigo 26 da Lei nº 8.666/93, Autorização da emissão da Nota de Empenho (8029079), Nota de Empenho (8179510), que passam a integrar o presente Contrato. Vigência: 12 (doze) meses, admitidas prorrogações por iguais e sucessivos períodos, limitadas à duração total de 60 (sessenta) meses, conforme o Art. 57, inciso II, da Lei nº 8.666/1993. Valor Total: R$ 4.983.671,76 (quatro milhões, novecentos e oitenta e três mil seiscentos e setenta e um reais e setenta e seis centavos) em procedência ao Orçamento do Distrito Federal para o corrente exercício, nos termos da correspondente Lei Orçamentária Anual. Dotação Orçamentária: Unidade Orçamentária: 23901. Programa de Trabalho: 10302620221450008. Natureza da Despesa: 339039. Fonte de Recurso: 138003464. Nota de Empenho: 2018NE03993. Valor de empenho inicial: R$ 3.211.699,58 (três milhões e duzentos e onze mil e seiscentos e noventa e nove reais e cinquenta e oito centavos). Emitido em 16/05/2018, sob o evento: 400091. Na modalidade: Global. Do Procedimento: O presente Contrato obedece aos termos do Edital de Credenciamento nº 03/2014, (1955724), Autorização e Ratificação da Inexigibilidade de Licitação (7143020 e 7143451), com fulcro no Artigo 25, caput, c/c Artigo 26 da Lei nº 8.666/93, Autorização da emissão da Nota de Empenho (8029079), Nota de Empenho nº 2018NE03993 (8179510), e demais disposições constantes na Lei de Licitação. Despesa de Publicação: SES. Processo nº: 00060-00083247/2017-96. Data de Assinatura: 14/06/2018. Pela SES/DF: HUMBERTO LUCENA CENA PEREIRA DA FONSECA. Pela contratada: CARLOS EDUARDO BARROSO ALVES VES e EDSON PEREIRA DA SILVA. Testemunhas: JANAINA INDIANO GIRAO RODRIGUES DRIGUES e PATRICIA SILVA ARAUJO RESENDE"
180,"Espécie: Contrato nº 176/2006 CEB Distribuição. Partes: CEB DISTRIBUIÇÃO S/A e a STD SISTEMAS TÉCNICOS DIGITAIS S/A. Processo: 310.003.066/2006. Inexigibilidade nº 33/ 2006 CEB, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 27 de outubro de 2006. Objeto: AQUISIÇÃO DE EXPANSÃO PARA O ATUAL SSC SISTEMA DE SUPERVISÃO E CONTROLE. Valor do Contrato: R$ 931.740,00 (novecentos e trinta e um mil e setecentos e quarenta reais). Despesa com Publicação: CEB Distribuição. Signatários: Pela CEB Distribuição: Rogério Villas Boas Teixeira de Carvalho e Ricardo Martins e pela STD, Péricles Leadebal Toledo"
189,"Espécie: Contrato nº 0036/2014. Partes: CEB DISTRIBUIÇÃO S/A x PARADIGMA BUSINESS SOLUTIONS S/A. Processo 310-001.570/2014, regido pela Lei 8.666/93. Data de assinatura: 01/07/2014. Objeto: Contrato de Prestação de Serviços de Suporte, Sustentação e Novas Implementações plementações para o Software de Gestão de Comercialização de Energia Elétrica. O prazo de execução e de vigência do objeto é de 12 (doze) meses. O valor global do contrato é de R$ 534.160,00 (quinhentos e trinta e quatro mil e cento e sessenta reais). Despesa com publicação: CEB Distribuição. Assinatura pela CEB Distribuição: Jorge Luiz Leitão da Silva e Antonio Soares da Costa e pela contratada: Andréa Cristina Boudeville"
190,"Espécie: Contrato nº 0037/2014. Partes: CEB DISTRIBUIÇÃO S/A x AUTO POSTO MILLENNIUM LENNIUM 2000 LTDA. Processo nº 310.000725/2014, regido pela Lei 8.666/93. Data de assinatura: 01/07/2014. Objeto: Contratação de empresa especializada na prestação de serviços de intermediação, administração e gerenciamento informatizados e integrados de gestão de frota com gerenciamento de despesas de abastecimentos com fornecimentos de insumos (óleo diesel e gasolina comum ou aditivada) contínuos e ininterruptos para as unidades de abastecimento que dão suporte às atividades da CEB DISTRIBUIÇÃO SY/A., conforme condições constantes do Edital de PREGÃO PRESENCIAL N.º 009/2013 SULIC/SEPLAN. O prazo de execução e vigência é de 12 (doze) meses. O valor global do contrato é de R$ 1.544.929,74 (um milhão quinhentos e quarenta e quatro mil novecentos e vinte e nove reais e setenta e quatro centavos). Despesa com Publicação: CEB Distribuição. Assinatura pela CEB DISTRIBUIÇÃO: Jorge Luiz Leitão da Silva e Caubi Pereira de Santana e pela contratada: Raul de Brito Simm"
199,"EXTRATO DO convênio Nº 53/2000 Processo: 193.000.135/2000; partícipes: Fundação de Apoio à Pesquisa do Distrito Federa FAPDF e à Base-Rochas Ornamentais LTDA; Objeto: apoio à realização do evento “ Aplicação de Rochas Ornamentais em Projetos de Construção Civil”, Vigência: 26/07/2000 até 29/09/2000; Valor: R$ 8.278,90 (oito mil duzentos e setenta e oito reais e noventa centavos); Nota de Empenho: n.º 2000NE00257; Dotação Orçamentária: Programa de Trabalho: 19573100025020001; Fonte de Recursos: 100; U.O.: 21201; Elemento: 349020, Emitida em 26/07/2000; Despesas de Publicação: FAPDF, P/Concedente: Orlando de Lima Júnior, Diretor-Presidente; P/Convenente: Marco Túlio Naves de Carvalho, Sócio-Gerente, Gustavo de Assunção Mello, Sócio-Gerente; coordenador: Claudinei Gouveia de Oliveira"
215,"Espécie: Contrato nº 147/2009-CEB DISTRIBUIÇÃO. Partes: CEB DISTRIBUIÇÃO S/A e a INCOPRE ENGENHARIA E COMÉRCIO SA. Processo 310002494/2009. Pregão 0026/2009CEB, CEB, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 17/09/2009. Objeto: Aquisição ção de postes de concreto. Valor: R$ 2.028.508,86 (dois milhões, vinte e oito mil, quinhentos e oito reais e oitenta e seis centavos). Despesa com Publicação: CEB Distribuição. Assinatura pela CEB Distribuição: Benedito A. Carraro e Antonio de Pádua Gonçalves Novaes e pela: INCOPRE: PRE: José Francisco Damasceno"
217,"Nº DO PROCESSO: GDF/SO/NOVACAP nº 142.001.830/2012. FUNDAMENTO LEGAL: Convite vite nº 042/2012 ASCAL/PRES, ESPÉCIE: Contrato de Empreitada Obra Engº. D.U. ASJUR/ PRES nº 718/2012. CONTRATANTES: COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL-NOVACAP e a firma LEO & BORBA ENGENHARIA LTDA. OBJETO: Constitui objeto do presente contrato a reforma, pela CONTRATADA, de quadras poliesportivas nas QS 427.08 431/433, QR 431, QS 631 e QR 431, QS 631 e QR 633/833 em Samambaia RA XI DF. VALOR: O valor total do presente contrato é R$ 139.734,40 (cento e trinta e nove mil, setecentos e trinta e quatro reais e quarenta centavos). PRAZO/VIGÊNCIA: O prazo máximo de execução e de conclusão das obras será de 45 (quarenta e cinco) dias corridos, contado a partir do 1º dia útil da emissão da correspondente Ordem de Serviço Externa, expedida pela Diretoria de Urbanização. O prazo de vigência do presente ajuste é de 135 (cento e trinta e cinco) dias corridos, contado a partir da data de sua assinatura e eficácia com a publicação de seu respectivo extrato no Diário Oficial do Distrito Federal. RECURSOS: As obras de que trata este contrato será executada com recursos procedentes do Programa de Trabalho 27.8126.2063.4402.604, Natureza de Despesa 44.90.51, Fonte 100, conforme Nota de Empenho nº 2012NE02969 no valor de R$ 139.734,40 (cento e trinta e nove mil, setecentos e trinta e quatro reais e quarenta centavos), emitida em 18/12/2012 pela Diretoria Financeira da NOVACAP. DATA DA ASSINATURA: O termo tem sua assinatura em 19/12/2012. PELA NOVACAP: Nilson Martorelli e Erinaldo Pereira da Silva Sales. PELA CONTRATADA: Cledes Manoel de Brito Moraes. TESTEMUNHAS: MUNHAS: Fabiana Neves Garcia e Leonardo Alcantara L'Orican da Silva"
223,"Contrato: 7559. Ass: 15/07/2008. Processo: 092.000884/2008. Partes: CAESB X CERÂMICA SANTA MARIA LTDA. Tendo em vista a Homologação e Adjudicação da TP nº 014/2008CAESB. CAESB. Objeto: Fornecimento de materiais cerâmicos (selins, conexões e tubos cerâmicos) Itens 09 e 17. Fontes de Recursos. Os recursos financeiros são próprios da CAESB, Código 11.101.000.000-3. Classificação: As despesas correrão à conta da Atividade/Subtítulo 17.122.0100.8517/6977, Código 12.903.908.200-5. Valor: As partes estimam o valor deste contrato trato em R$ 54.267,50 (cingiienta e quatro mil duzentos e sessenta e sete reais e cingiienta centavos). Prazo: O prazo para entrega dos materiais será de 30 (trinta) dias consecutivos, contado a partir da data da emissão da ordem de entrega, que será expedida após a publicação do extrato deste contrato no Diário Oficial do Distrito Federal (Decisão nº 12.358/95 do TCDF). Vigência: O prazo de vigência do contrato é de 90 (noventa) dias consecutivos, contado a partir da publicação do extrato do ajuste no Diário Oficial do Distrito Federal (Decisão nº 6.057/97 do TCDF). Assinantes: Pela CAESB; Divino Alves dos Santos Diretor de Gestão. Pela CERÂMICA CA SANTA MARIA LTDA: Luciano Cardoso Furtado"
237,"Espécie: Contrato nº 107/2006-SES/DF. Partes: DISTRITO FEDERAL, por intermédio de sua SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL e MEDICAL SHOP PRODUTOS HOSPITALARES LTDA. Objeto: A prestação de serviço de manutenção preventiva e corretiva, com reposição de peças, no aparelho Litotripsia e Terapia Extracorpórea, rea, marca DORNIER, com aplicação em urologia, gastroenterologia e ortopedia, equipado com gerador de ondas de choque eletromagnético, instalado na Unidade de Urologia do HBDF. Prazo de Vigência: 12 (doze) meses, a partir da data da sua assinatura, podendo ser prorrogado conforme artigo 57 da Lei nº 8.666/93. Valor: Total de R$ 270.000,00 (duzentos e setenta mil reais) e Mensal estimado: R$ 22.500,00 (vinte e dois mil e quinhentos reais). Dotação Orçamentária: mentária: Unidade Orçamentária: 23901. Programa de Trabalho: 1030204002 1450002. Fonte de Recurso: 138003467. Natureza de Despesa: 339039. Nota de Empenho: 2006NE08493. Valor: R$ 67.500,00 (sessenta e sete mil e quinhentos reais). Despesa de Publicação: SES. PROCESSO: 060.009.500/06. Data de Assinatura: 18.10.2006. Pela SES/DF: José Maria Freire. re. Pela Contratada: Eduardo de Castro Borges. Testemunhas: Ângela D'arc Hilário de Sousa e Vitor de Oliveira Rezende"
238,"Espécie: Contrato nº 108/2006-SES/DF. Partes: DISTRITO FEDERAL, por intermédio de sua SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL e INSTITUTO MÉDICO HOSPITALAR LAGO SUL LTDA. Objeto: A prestação, pelo CONTRATADO, de serviços de Internação em Unidade de Terapia Intensiva (UTI) TIPO II 08 (oito) leitos adulto, para complementar as necessidades emergenciais do CONTRATANTE, na ocorrência da falta de leitos vagos em sua rede de hospitais. Prazo de Vigência: 12 (doze) meses a contar de sua assinatura, podendo ser prorrogado com fundamento no art. 57 da Lei nº 8.666/93. Valor: Total estimado: R$ 8.640.000,00 (oito milhões e seiscentos e quarenta mil reais) e Mensal estimado: R$ 720.000,00 (setecentos e vinte mil reais). Dotação Orçamentária: Unidade de Orçamentária: 23901. Programa de Trabalho: 10302040021540001. Fonte de Recurso: 100000000 e 138003467. Natureza de Despesa: 339039. Notas de Empenho: 2006NE09575 e 2006NE09576. VALORES: R$ 684.000,00 (seiscentos e oitenta e quatro mil reais) e R$ 102.564,10 (cento e dois mil, quinhentos e sessenta e quatro reais e dez centavos). Despesa de Publicação: SES. PROCESSO: 060.001.234/06. Data de Assinatura: 24.10.2006. Pela SES/DF: José Geraldo Maciel e José Maria Freire. Pela Contratada: José Carlos Daher. Testemunhas: Érika Valeska dos Santos Portes e Jefferson Leonardo Vieira de Souza"
248,"Nº DO PROCESSO: 160.002.323/2000. ESPÉCIE: Contrato de Concessão de Direito Real de Uso com Opção de Compra nº. 0799/2002. CONTRATANTES: Companhia Imobiliária de Brasília Terracap e Supervarejo Comércio de Alimentos Ltda. OBJETO: Concessão de Direito Real de Uso com Opção de Compra do imóvel denominado D-1, D-2, D-3 e D-4, Quadra 202, Comercio Local, Santa Maria-DF. EMBASAMENTO LEGAL: Tendo em vista o que consta do art. 174 da Constituição Federal, do art. 161 da Lei Orgânica do Distrito Federal, da Lei no. 2.427, de 14 de julho de 1999, regulamentada pelo Decreto nº 21.077, de 23 de março de 2000 e dos Pareceres nºs 28/95-GAB-PRG, exarado no Processo Administrativo tivo nº 111.000.273/90-4 e 152/99-GAB-PRG, de 13.07.99, ambos aprovados pelo Senhor Procurador Geral do Distrito Federal. VALOR DA TAXA MENSAL: R$ 590,50 (quinhentos tos e noventa reais e cinquenta centavos), para cada lote. VIGÊNCIA: 60 (sessenta) meses contados a partir da data de assinatura do instrumento contratual. DESPESAS DE PUBLICAÇÃO: CAÇÃO: Correrão a expensas da Concessionária. DATA DE ASSINATURA: 11.09.2002. P/TERRACAP: Eri Rodrigues Varela, Maria Júlia Monteiro da Silva e Juvenal Antunes Pereira. P/CONCESSIONÁRIA: Maria Francisca de Oliveira Uchôa. TESTEMUNHAS: Francisca Ferreira de Sena Oliveira e Carvílio Pereira Gomes"
249,"Nº DO PROCESSO: 160.001.990/2001. ESPÉCIE: Contrato de Concessão de Direito Real de Uso com Opção de Compra nº. 0814/2002. CONTRATANTES: Companhia Imobiliária de Brasília Terracap e M. dos Reis Materiais de Construção-me. OBJETO: Concessão de Direito Real de Uso com Opção de Compra do imóvel denominado Lote 10, Conjunto 02, Quadra 14, SCIA, Guara-DF. EMBASAMENTO LEGAL: Tendo em vista o que consta do art. 174 da Constituição Federal, do art. 161 da Lei Orgânica do Distrito Federal, da Lei no. 2.427, de 14 de Julho de 1999, regulamentada pelo Decreto nº 21.077, de 23 de março de 2000 e dos Pareceres nºs 28/95-GAB-PRG, exarado no Processo Administrativo nº 111.000.273/90-4 e 152/99-GABPRG, PRG, de 13.07.99, ambos aprovados pelo Senhor Procurador Geral do Distrito Federal. VALOR DA TAXA MENSAL: R$ 489,00 (quatrocentos e oitenta e nove reais). VIGÊNCIA: 60 (sessenta) ta) meses contados a partir da data de assinatura do instrumento contratual. DESPESAS DE PUBLICAÇÃO: Correrão a expensas da Concessionária. DATA DE ASSINATURA: 12.09.2002. P/TERRACAP: Eri Rodrigues Varela, Maria Júlia Monteiro da Silva e Juvenal Antunes Pereira. P/CONCESSIONÁRIA: Milton dos Reis. TESTEMUNHAS: Francisca Ferreira de Sena Oliveira ra e Carvílio Pereira Gomes"
250,"Nº DO PROCESSO: 160.001.554/2001. ESPÉCIE: Contrato de Concessão de Direito Real de Uso com Opção de Compra nº. 0817/2002. CONTRATANTES: Companhia Imobiliária de Brasíli Terracap e José Ronaldo de Souza Silva-me. OBJETO: Concessão de Direito Real de Uso com Opção de Compra do imóvel denominado Lote 27, Conjunto 05, Quadra 400, ADE, Recanto das Emas-DF. EMBASAMENTO LEGAL: Tendo em vista o que consta do art. 174 da Constituição Federal, do art. 161 da Lei Orgânica do Distrito Federal, da Lei no. 2.427, de 14 de julho de 1999, regulamentada pelo Decreto nº 21.077, de 23 de março de 2000 e dos Pareceres nºs 28/95-GAB-PRG, exarado no Processo Administrativo nº 111.000.273/90-4 e 152/99-GAB-PRG, de 13.07.99, ambos aprovados pelo Senhor Procurador Geral do Distrito Federal. VALOR DA TAXA MENSAL: R$ 150,50 (cento e cinquenta reais e cinquenta centavos). VIGÊNCIA: 60 (sessenta) meses contados a partir da data de assinatura do instrumento contratual. DESPESAS DE PUBLICAÇÃO: CAÇÃO: Correrão a expensas da Concessionária. DATA DE ASSINATURA: 12.09.2002. P/TERRACAP: Eri Rodrigues Varela, Maria Júlia Monteiro da Silva e Juvenal Antunes Pereira. P/CONCESSIONÁRIA: José Ronaldo de Souza Silva. TESTEMUNHAS: Francisca cisca Ferreira de Sena Oliveira e Carvílio Pereira Gomes"
252,"Contratada: OPEN CREDIT ASSESSORIA EMPRESARIAL LTDA.. Objeto: Serviços de cobrança extrajudicial dos créditos inadimplentes do BRB e BRB-CFI, na praça de Belo Horizonte/MG. Contrato: DIRAD/DESEG-2000/105. Assinatura: 11.01.2001. Vigência: 12 meses. Valor: R$10.000,00. Licitação: Edital de pré-qualificação DIRAD/CPLIC nº97/015. Processo: 420/97"
253,"Processo: 070-000.750/2012 ESPÉCIE: Contrato de Concessão de Uso Oneroso de Imóvel Rural. NUMERO: 000052/2019-SEAGRI. CONTRATANTES: Distrito Federal, por intermédio da Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural do Distrito Federal Seagri, por delegação da Companhia Imobiliária de Brasília Terracap como concedente e JOSÉ CORRE DE SOUSA, produtor rural, CPF 114.537.961-34, com concessionário. OBJETO: Chácara nº 23, Núcleo Rural Lamarão, RA-VII, Paranoá/DF, com área de 7,6205 hectares. EMBASAMENTO LEGAL: art. 18 da Lei Federal nº 12.024/2009; Lei nº 5.803/2017, Decreto nº 38.125/2017; observadas, ainda, as disposições constitucionais e legais específicas, da Lei Federal nº 8.666/1993, da Lei Orgânica do Distrito Federal, do Plano Diretor de Ordenamento Territorial do Distrito Federal aprovado pela Lei Complementar nº 803/2009, do Estatuto Social da Companhia Imobiliária de Brasília TERRACAP, do Decreto nº 26.196/2005 e do Estatuto da Terra (Lei Federal nº 4.504/1964), e a aprovação do Conselho de Regularização das Áreas Públicas Rurais do Distrito Federa COREG, criado pela Lei nº 5.346/2014. VIGÊNCIA: 30 (trinta) anos contados a partir da data de assinatura do contrato. DATA DE ASSINATURA: 26/11/2019. P/CONCEDENTE: Luciano Mendes da Silva. PICONCESSIONÁRIO: JOSÉ CORRÊA DE SOUSA."
254,"Processo: 070-001.819/2015 ESPÉCIE: Contrato de Concessão de Uso Oneroso de Imóvel Rural. NUMERO: 000064/2019-SEAGRI. CONTRATANTES: Distrito Federal, por intermédio da Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural do Distrito Federal Seagri, por delegação da Companhia Imobiliária de Brasília Terracap como concedente e ILDA PEREIRA DA COSTA, produtor rural, CPF 386.292.911-68, como concessionário. OBJETO: Chácara Eldorado nº 1, Núcleo Rural Pipiripau, RA-VI, Planaltina/DF, com área de 16,7724 hectares. EMBASAMENTO LEGAL: art. 18 da Lei Federal nº 12.024/2009; Lei nº 5.803/2017, Decreto nº 38.125/2017; observadas, ainda, as disposições constitucionais e legais específicas, da Lei Federal nº 8.666/1993, da Lei Orgânica do Distrito Federal, do Plano Diretor de Ordenamento Territorial do Distrito Federal aprovado pela Lei Complementar nº 803/2009, do Estatuto Social da Companhia Imobiliária de Brasília TERRACAP, do Decreto nº 26.196/2005 e do Estatuto da Terra (Lei Federal nº 4.504/1964), e a aprovação do Conselho de Regularização das Áreas Públicas Rurais do Distrito Federa COREG, criado pela Lei nº 5.346/2014. VIGÊNCIA: 30 (trinta) anos contados a partir da data de assinatura do contrato. DATA DE ASSINATURA: 04/12/2019, P/CONCEDENTE: Dilson Resende de Almeida. P/CONCESSIONÁRIO: ILDA PEREIRA DA COSTA."
255,"Espécie: Aquisição de luminárias de tecnologia LED para eficientização da Iluminação Pública em diversas localidades do Distrito Federal // Contrato nº 027/2019-CJU/CEB /! Processo nº 0009300000228/2019-16. 00000228/2019-16. Contratada: GLOBAL Iluminação LTDA EPP, inscrita sob o CNPJ 03.204.444/000137. 37. Contratante: Companhia Energética de Brasília CEB, inscrita sob o CNPJ 00.070.698/0001-11. Do objeto: Aquisição de Luminárias para Iluminação Pública a LED, potência de 120 Watts (700 unidades), de 80 Watts (1007 unidades), e de 60 Watts (208 unidades). Do valor: R$ 812.869,00 (oitocentos e doze mil, e oitocentos e sessenta e nove reais). Do prazo de vigência: o prazo de vigência do contrato será de 12 (doze) meses, contados da data de publicação do instrumento contratual na imprensa oficial. Da assinatura do contrato: 06 de dezembro de 2019. Pela CEB: Fabiano Cardoso Pinto e Edison Antonio Costa Britto Garcia. Pela Contratada: Janaina Andreeta Munhoz Velasquez."
259,"Espécie: Contrato nº 705/2019 CEB DISTRIBUIÇÃO S/A. Partes: CEB Distribuição S/A e a Sulminas Fios & Cabos LTDA. Processo nº 0310-000977/2018, regido pela Lei 13.303/2016. Data de Assinatura: 06/05/2019. Objeto: aquisição de desconectáveis. Vigência: 8 meses. Valor: R$ 2.478,00. Assinaturas: pela CEB Distribuição: Armando Casado de Araújo e Graziela Maria Fernandes das Neves; e pela Contratada: Ademir Machado"
261,"Espécie: Contrato nº 706/2019 CEB DISTRIBUIÇÃO S/A. Partes: CEB Distribuição S/A e a TE Connectivity Brasil Indústria de Eletrônicos LTDA, Processo nº 00310-00005690/2019-35, regido pela Lei 13.303/2016. Data de Assinatura: 07/05/2019. Objeto: aquisição de conectores cunha. Vigência: 8 meses. Valor: R$ 24.505,60. Assinaturas: pela CEB Distribuição: Armando Casado de Araújo e Graziela Maria Fernandes das Neves; e pela Contratada: Belchior Rodrigues da Silva"
262,"Espécie: Contrato Simplificado de Serviços nº 01/2019 CEB DISTRIBUIÇÃO S/A. Partes: CEB Distribuição S/A e a Mitsidi Projetos e Serviços Ltda. Processo nº 00310-00014127/2018-77, regido pelo Regulamento Interno de Licitações, Contratos e Convênios da CEB Distribuição S.A RILC. Data de Assinatura: 09/05/2019. Objeto: Contratação de serviços de consultoria para análise do nível de eficiência energética do Prédio da ANEEL para Obtenção de Etiqueta A.Vigência: 24 meses. Valor: R$ 82.850,00. Assinaturas: pela CEB Distribuição S/A: Armando Casado de Araújo, Wanderson da Silva Menezes e Elias Barbosa de Alvarenga; e pela Contratada: Gabriel de Souza Frasson"
280,"Espécie: Contrato nº 875/2020 CEB DISTRIBUIÇÃO S/A. Partes: CEB Distribuição S/A e a TICKET Serviços S/A. Processo SEI nº 0310-0001 1970/2020-16, regido pelo Regulamento de Licitações e Contratos do Grupo CEB — CEBli e a Lei 13.303/2016. Data de Assinatura: 24/08/2020. Objeto: contratação emergencial para prestação de serviços de administração de auxílio alimentação e refeição, por meio de cartão eletrônico, com tecnologia de chip, e respectivas recargas de créditos mensais, destinados aos empregados da CEB Distribuição S/A. Vigência: 4 meses. Valor: R$ 4.910.960,54. Assinaturas: pela CEB Distribuição: Edison Antonio Costa Britto Garcia e Graziela Maria Fernandes das Neves; e pela contratada: Cláudia Guedes Nascimento Scalabrin"
283,"Contrato nº 7361. Assinatura: 21 de agosto de 2007. Processo: 092.001.352/2007. Partes: CAESB x BERACA SABARÁ QUÍMICOS E INGREDIENTES LTDA. Tendo em vista a Homologação e Adjudicação da CP nº 10/2007-CAESB. Objeto: Fornecimento de policloreto de alumínio para tratamento de água potável. Fontes de Recursos: Os recursos financeiros são próprios da CAESB, Código 11.101.000.000-3. Classificação: As despesas correrão à conta do Projeto/Atividade 17.122.0100.8517/6073, Código 12.903.908.200-5. Valor: As partes estimam mam o valor deste contrato em R$ 420.000,00 (quatrocentos e vinte mil reais). Prazo: O prazo total para entrega dos materiais é de 365 (trezentos e sessenta e cinco) dias consecutivos, contado a partir da data da emissão da primeira ordem de entrega, que será expedida após a publicação do extrato deste contrato no Diário Oficial do Distrito Federal (Decisão nº 12.358/ 95 do TCDF). Vigência: O prazo de vigência do contrato é de 455 (quatrocentos e cinquenta e cinco) dias consecutivos, contado a partir da publicação do extrato do ajuste no Diário Oficial do Distrito Federal, conforme art. 61 da Lei 8.666/93 e Decisão nº 6057/97 do TCDF. Assinantes: tes: Pela CAESB: Divino Alves dos Santos, Diretor de Gestão. Pela Beraca Sabará Químicos e Ingredientes Ltda: Elias de Oliveira."
287,"Espécie: Contrato nº 157/2006 CEB Distribuição. Partes: CEB DISTRIBUIÇÃO S/A e ABB LTDA. Processo: 310.002.059/2006. Pregão: 20/2006, regidos pela Lei nº 8.666/93. Data de Assinatura do Contrato: 11 de outubro de 2006. Objeto: AQUISIÇÃO DE TRANSFORMADORES FORMADORES DE CORRENTE E POTENCIAL DE 138KV. Valor do Contrato: R$ 225.000,00 (duzentos e vinte e cinco mil reais). Despesa com Publicação: CEB Distribuição. Signatários: Pela CEB Distribuição: Wilson Soares dos Santos e Ricardo Martins e pela ABB, Albano de Abreu Lima Jr"
295,"Espécie: Contrato nº 154/2014-SES/DF. Partes: DISTRITO FEDERAL, por intermédio de sua SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL e a empresa WINNER LAB GROUP LABINBRAZ COMERCIAL LTDA. CNPJ nº 73.008.682/0001-52. Objeto: Aquisição, em caráter emergencial, de reagentes para a realização de exames bioquímicos. Prazo de Vigência: 180 (cento e oitenta) dias, contados da data da sua assinatura. Valor Total: R$ 1.709.081,00 (um milhão, setecentos e nove mil, oitenta e um reais), em procedência ao Orçamento do Distrito Federal para o corrente exercício, nos termos da correspondente Lei Orçamentária Anual. Dotação Orçamentária: Unidades Orçamentárias: 23901. Programas de Trabalho: 10302620242260001 e 10302620242050002. Naturezas das Despesas: 339030. Fontes de Recursos: 138003467 e 100000000. Notas de Empenho: 2014NE03543 e 2014NE03544. Valores de empenhos iniciais: R$ 509.000,00 (quinhentos e nove mil reais) e R$ 1.200.081,00 (um milhão, duzentos mil e oitenta e um reais). Emitidos em 16/06/2014, sob os eventos: 400091. Nas modalidades: Global. Despesa de Publicação: SES. Do Procedimento: do Pedido de Aquisição de Material (PAM) nº 5-14/PAMO00788 (fls. 02/03), do Projeto Básico (fls. 40/44), da Proposta da Empresa (fls. 55/58), da Autorização e Ratificação da Dispensa de Licitação DL nº 208/2014, (fls. 151/152), com fundamento no Art. 24, Inciso IV, Autorização de emissão da Nota de Empenho (fl. 153), Autorização de Fornecimento de Material AFM nº 5-14/AFMO001705, e da Lei nº 8.666/1993, ealterações posteriores. Processo: 060.004.139/2014. Data de Assinatura: 16/06/2014. Pela SES/ DF: ELIAS FERNANDO MIZIARA. Pela Contratada: GUILLERMO MIGUEL EDUARDO ROJKIN. Testemunhas: LUDMILA COELHO e TEDY KARLO"
308,"Contrato nº 14/2011. Processo 308.000.216/2011. Data da Assinatura: 09/12/2011. Nota de Empenho nº 170/2011. Objeto: Contratação de Atrações Musicais para o evento “Festival do Forró”. Empresa Trios Bjú Shows Eventos e Produções Ltda, CNPJ: 12.837.994/0001-84. Representantes presentantes dos cantores: Nilson freire e banda Nega Malluka. Valor do contrato: R$ 55.000,00 Fonte de recursos: Fonte 100 Tesouro. Prazo de execução: 2 (dois) dias. Prazo de vigência: 12 (Doze) meses. Fiscalização do Contrato: Silvano Angelo Lima, matrícula 165132-82 (Executor). Assinantes: Pela Administração do Itapoã: Gesiel Miguel da Silva Administrador; e Trios Bjú Shows Eventos e Produções Ltda / Carlos Alberto Reis Andrade"
315,"Contratada: Papel Presente — Papelaria e Armarinho LTDA — ME. Objeto do Contrato: Prestação de serviço de Correspondente não bancário. Contrato DIATE/SUCOR-2011/034 pelo período de 30 meses contados a partir da data de publicação no DODF. Assinatura: 16/12/2011. Valor Global: R$100.000,00 Licitação: Credenciamento BRB nº 002/2011. Signatários pelo BRB: Sr. Alair José Martins Vargas. Pela Contratada: Sr. Paulo Kleber Machado Mendes. Executor: Humberto Augusto Coelho. Processo: 733/2011. Eriel Strieder. Gerente de Área"
316,"Contratada: Torino Informática LTDA. Objeto do Contrato: pela Contratada, sob regime de empreitada por preço unitário, de impressoras ao BRB, conforme condições e especificações técnicas mínimas constantes do Edital de Pregão Eletrônico nº 041/2011 e seus anexos, bem como da proposta da Contratada de 23/09/2011. Contrato DIPES/SUSEG-2011/210 pelo período de 39 meses contados a partir da data de publicação no DODF. Assinatura: 07/12/2011. Valor Global: R$319.766,12 Licitação: Pregão Eletrônico nº 041/2011. Signatários pelo BRB: Sr. Fabiano Pereira Córtes. Pela Contratada: Sr. Fernando Antonio Madeira. Executor: Salvador Martino. Processo: 407/2011. Eriel Strieder. Gerente de Área"
