,Tipo do Ato,Id Ato,DODF,Data Ato/DODF,Processo GDF/SEI,Tipo,Modo de Disputa,Objeto,Valor Estimado,Texto,Redator
22,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 031 17-02-2021 1,12 de fevereiro de 2021,0005000031137202013, Menor Preco,"
Combinado (Aberto/Fechado)",,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 03/2021 Processo: 0005000031137202013. TIPO: Menor Preco. Modo de disputa: Combinado (Aberto/Fechado). OBJETO: Aquisicao de instrumentos musicais e acessorios (Flauta transversal Do (C), clarineta SIB (Bb), saxofone alto MIB (Eb), saxofone tenor SIB (Bb), trompa Fa/SIB (F/Bb), trombone de vara, bombardino SIB (Bb), tuba SIB (Bb), lira 25 teclas, bumbo fuzileiro, caixa tarol (14 pol x 15cm), caixa tarol (14 pol x 10cm), tambor (Surdo) (14 pol x 30cm), pratos para banda marcial, talabarte com 2 ganchos para bumbo e tarol, talabarte com 1 gancho para tambor/surdo e estante para partitura), visando atender demanda da Subsecretaria de Escolas de Gestao Compartilhada da Secretaria de Estado de Seguranca Publica do Distrito Federal, para formacao de Bandas de Musica nos Colegios Civico-Militares do Distrito Federal. VALOR TOTAL ESTIMADO: R$ 785.710,60. DOTACAO: UO 24.101 SSP/DF. PROG. TRAB.: 06.181.6217.4220.0010. N.D. 4.4.90.52. F.R.: 382. PRAZOS: De Entrega: 30 dias, contados da assinatura do contrato ou do recebimento da Nota de Empenho. Vigencia do contrato: 90 (noventa) dias. DATA DA SESSAO PUBLICA: dia 03/03/2021, as 10h00min no https://www.gov.br/compras/pt-br/. UASG 450107. O Edital esta disponivel no endereco acima e no http://www.ssp.df.gov.br/licitacoes/. Brasilia/DF, 12 de fevereiro de 2021 AMILCAR UBIRATAN URACH VIEIRA ",
23,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 031 17-02-2021 1,17-02-2021,0005300061532202012, Menor preco,,,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 24/2021 Processo: 0005300061532202012 - CBMDF. TIPO: Menor preco. OBJETO: Aquisicao de 8 (oito) motos aquaticas de tres lugares, como motor 4 tempos/gasolina para o CBMDF, conforme Edital e anexos. VALOR MAXIMO DA CONTRATACAO: R$ 959.200,00; PROGRAMA DE TRABALHO: 28.845.0903.00NR.0053; ELEMENTO DE DESPESA: 44.90.52; FONTE DO RECURSO: 0100 - FCDF. O DICOA informa a ABERTURA da licitacao, para o dia 03/03/2021 as 13:30h. LOCAL: site: www.gov.br/compras/pt-br. RETIRADA DO EDITAL pela internet, nos sites www.cbm.df.gov.br e www.gov.br/compras/pt-br. UASG: 170394. Inf.: (61) 3901-3614. HELIO PEREIRA LIMA ",
24,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 031 17-02-2021 1,12 de fevereiro de 2021,0011100005496202058," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para execucao de limpeza e
nivelamento do solo",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100005496202058 Modalidade/numero: Pregao Eletronico 02/2021 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para execucao de limpeza e nivelamento do solo, bem como fornecimento, plantio e manutencao de grama batatis com vistas a implementacao do Parque Burle Marx. O regime de execucao dos servicos sera o de empreitada por preco unitario em conformidade com o Item 11 do Termo de Referencia. Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 03/03/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF 12 de fevereiro de 2021 GLAUBER TEODORO FARIA ",
25,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 031 17-02-2021 1,17-02-2021,,,,,,AVISO DE ABERTURA DE LICITACAO (*) SISTEMA DE REGISTRO DE PRECOS ,
26,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 036 24-02-2021 1,23 de fevereiro de 2021,0005000028990202016, Menor Preco, Aberto,,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 56/2020 Processo: 0005000028990202016. TIPO: Menor Preco. Modo de disputa: Aberto. OBJETO: Registro de precos para aquisicao de nobreaks e de dispositivo de protecao contra surto (DPS) para protecao das Cameras de Videomonitoramento no Distrito Federal da SSPDF. VALOR TOTAL ESTIMADO: R$ SIGILOSO. DOTACAO: UO 24.101 SSP/DF. PRAZOS: De Entrega: nao superior a 30 dias corridos contados da assinatura do contrato ou do recebimento da Nota de Empenho. Vigencia do contrato: 180 (cento e oitenta) dias a contar de sua assinatura. DATA DA SESSAO PUBLICA: dia 09/03/2021, as 10h00min no https://www.gov.br/compras/pt-br/. UASG 450107. O Edital esta disponivel no endereco acima e no http://ssp.df.gov.br/licitacoes. Brasilia/DF, 23 de fevereiro de 2021 AMILCAR UBIRATAN URACH VIEIRA ",
27,AVISO DE ABERTURA DE LICITACAO,,2021\02_Fevereiro\DODF 037 25-02-2021 1,25-02-2021,0040100016992202035, menor preco por item,,,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 02/2021 - (UASG: 926314) Processo: 0040100016992202035. Objeto: Contratacao de servico de locacao de caminhao tipo cavalo mecanico, sob demanda, com fornecimento de motorista, para transporte de veiculo semirreboque adaptado com instalacoes, mobiliarios e equipamentos, com o objetivo de atender o Programa de Atendimento Integrado Movel - PAI da Defensoria Publica do Distrito Federal, conforme condicoes, quantidades e exigencias estabelecidas no Edital e seus anexos. A despesa com a execucao do objeto desta licitacao e estimada em R$ 113.760,00 (cento e treze mil setecentos e sessenta reais)para custo total da contratacao. Tipo de Licitacao: menor preco por item. Horario e data de abertura do certame: 14h00, do dia 09 de marco de 2021. O Edital podera ser retirado nos enderecos eletronicos www.comprasgovernamentais.gov.br e http://transparencia.defensoria.df.gov.br/. CINTHIA MARIA S. D. DE OLIVEIRA Pregoeira INEDITORIAL ",
28,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 040 02-03-2021 1,02-03-2021,0011100009105202074,,,,,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100009105202074 Modalidade/numero: CHAMAMENTO PUBLICO No 03/2020 Tipo: Pre Qualificacao Permanente Objeto: Pre Qualificacao de empresas com vistas a participacao em certames licitatorios referente a contratacao de estudos ambientais SUBGRUPO ",
29,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 041 03-03-2021 1,03-03-2021,0011100008083202025," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para execucao de
cercamento",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100008083202025 Modalidade/numero: Licitacao Presencial no 22/2020 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para execucao de cercamento, em alambrado em tela de arame galvanizado, quadrangular/losangular, fio 2,77 mm (12 BWG), malha 8 x 8 cm, fixada em postes de concreto (10 x 10 x 200 cm com altura de 1,70 acima do solo) previamente fornecidos e instalados pela TERRACAP, com um fio corrido na parte superior e outro corrido na parte inferior, com espacamento maximo entre os postes de 3,00 metros, nas areas de reserva indigena Kariri- Xoco e Santuario Sagrado dos Pajes, no interior da ARIE Cruls no SETOR NOROESTE/DF Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 17/03/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 1o de marco de 2021 GLAUBER TEODORO FARIA Presidente da Comissao SECRETARIA DE ESTADO DE ",
30,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 042 04-03-2021 1,02 de marco de 2021,0011100006988202061," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Elaboracao de projetos executivos de arquitetura e complementares",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100006988202061 Modalidade/numero: Pre-Qualificacao permanente no 01/2021 Objeto: Pre-qualificacao permanente de agentes economicos habilitados a execucao de obras e servicos de engenharia eletrica do subgrupo 4.1  Rede de distribuicao de energia aerea, para a complementacao ou remanejamento da infraestrutura de energia eletrica em parcelamentos do solo urbano ou processos de regularizacao fundiaria empreendidos pela TERRACAP no Distrito Federal, nas seguintes modalidades: Redes de distribuicao aerea primaria, compacta ou convencional, na tensao de 13,8 kV; Redes de distribuicao aerea secundaria, isolada (RSI) ou convencional.  Grupo de habilitacao Obras e servicos de engenharia eletrica Subgrupo Rede de distribuicao de energia aerea Data/hora de abertura: 31/03/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 02 de marco de 2021 GLAUBER TEODORO FARIA Presidente da Comissao O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100006988202061 Modalidade/numero: Licitacao Presencial no 46/2020 Tipo: Menor Preco Objeto: Elaboracao de projetos executivos de arquitetura e complementares, e execucao das respectivas obras para construcao de 16 unidades habitacionais padrao, centro de convivencia indigena, 7 ocas pequenas padrao e uma casa de producao de farinha, em atendimento as normas e determinacoes do termo de permissao de uso nao-qualificada na ARIE CRULS - setor de habitacoes coletivas noroeste, plano piloto RA I, BRASILIA/DF. Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 26/03/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 03 de marco de 2021 GLAUBER TEODORO FARIA Presidente da Comissao SECRETARIA DE ESTADO DE ",
31,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 043 05-03-2021 1,05-03-2021,0005000000250202104, Menor Preco,"
Aberto",,"
Sigiloso","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 04/2021 Processo: 0005000000250202104. TIPO: Menor Preco. MODO DE DISPUTA: Aberto. OBJETO: Registro de Precos para eventual aquisicao de equipamentos relacionados a Tecnologia da Informacao e Comunicacao (TIC), mais especificamente, 12 (doze) servidores de rack para a SSPDF. VALOR ESTIMADO: Sigiloso. PRAZOS: De entrega: nao superior a 15 dias, contados da assinatura do Contrato ou do recebimento da Nota de Empenho. Do Contrato: 120 (cento e vinte) dias a partir da data da assinatura. DATA DA SESSAO PUBLICA: 17/03/2021 as 10:00 horas no www.gov.br/compras. UASG 450107. Edital tambem esta disponivel no http://www.ssp.df.gov.br/licitacoes/. Brasilia/DF,04 de marco de 2021 AMILCAR UBIRATAN URACH VIEIRA ",
32,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 043 05-03-2021 1,04 de marco de 2021,0011100001725202065," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Aquisicao de bens",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100001725202065 Modalidade/numero: Pregao Eletronico no 14/2020-Republicacao Tipo: Menor Preco Objeto: Aquisicao de bens, equipamentos e servicos, conforme especificacoes tecnicas abaixo, fornecidas pelo Parque Nacional de Brasilia - PNB, para cumprimento do Termo de Ajustamento de Conduta  TAC  no 001/2012- Ibram/Terracap. Valor estimado (R$): O valor estimado e R$ 112.324,16 (Cento e doze mil, trezentos e vinte e quatro reais e dezesseis centavos). Data/hora de abertura: 23/03/2021, as 10:00 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 04 de marco de 2021. GLAUBER TEODORO FARIA Presidente da Comissao COMISSAO DE VENDA DIRETA ",
33,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 045 09-03-2021 1,09-03-2021,0007200002186202086, Menor Preco por item,,,,"AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 22/2020 Processo: 0007200002186202086. Tipo: Menor Preco por item. Objeto: Contracao de pessoa juridica para fabricacao de 07 barracas em estrutura metalica e telhas PVC, de facil montagem e desmontagem, contemplando material e mao de obra, conforme Pedido de Compras e modelo constante do Anexo I. Disponibilidade Orcamentaria: Programa de Trabalho; 20.606.6201.2173.0002. Fonte: 100. Prazo de entrega: 60 (sessenta) dias a contar da data de assinatura do instrumento contratual. Recebimento das Propostas ate 30/03/2021 as 10h00min no endereco eletronico www.comprasnet.gov.br UASG 926241. Data da Sessao Publica: 30/03/2021 as 10h00min. Edital disponivel no endereco descrito acima. DANIELLA MOREIRA DE CARVALHO ",
34,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 046 10-03-2021 1,10-03-2021,0006300003665202029,,,,,"AVISO DE ABERTURA DE LICITACAO No 04/2021 - UASG 926334 A Fundacao Hemocentro de Brasilia torna publico a realizacao de Licitacao, por Menor Preco por Item, para registro de precos para aquisicao de insumos necessarios para realizacao da tecnica de monocamada de monocitos (Monocyte Monolayer Assay) - MMA, para a Fundacao Hemocentro de Brasilia, de acordo com as condicoes, quantidades e exigencias estabelecidas no Edital e seus anexos; Processo: 0006300003665202029. Valor de R$ 29.045,94 (vinte e nove mil quarenta e cinco reais e noventa e quatro centavos). Data limite de recebimento das propostas ate as 10:00 horas do dia 23/03/2021. O Edital encontra-se disponibilizado, no sitio: www.gov.br/compras, no sitio www.fhb.df.gov.br e no endereco: Setor Medico Hospitalar Norte-SMHN, Quadra 03, Conjunto A, Bloco 03, Asa Norte CEP 70710-908 Brasilia/DF. A sessao Publica sera processada no dia 23/03/2021 as 10:00 horas no sitio do Compras Governamentais, nos termos do Edital. HENRIQUE SANJIRO YUZUKI FARIAS ",
35,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 047 11-03-2021 1,10 de marco de 2021,0037000001142202056,,,," da contratacao: R$
1.407.085,51 ","AVISO DE ABERTURA DE LICITACAO PUBLICA NACIONAL PROJETO BR-L 1076 SDE-DF/BID, PROCIDADES PROGRAMA DE DESENVOLVIMENTO ECONOMICO DO DISTRITO FEDERAL ADES Concorrencia LPN no 002/2021 SDE/DF - do tipo preco global, para Aquisicao de Solucao de Backup de Dados, contemplando instalacao, treinamento, garantia, suporte por 36 (trinta e seis) meses, com financiamento do Banco Interamericano de Desenvolvimento  BID. - Processo: 0037000001142202056 valor estimado da contratacao: R$ 1.407.085,51 (um milhao, quatrocentos e sete mil oitenta e cinco reais e cinquenta e um centavos) - Programa de Trabalho 22.661.6207.5021.0001 Modernizacao e Melhoria da Infraestrutura das Areas de Desenvolvimento Economico do PAGINA 70 Diario Oficial do Distrito Federal         No 47, QUINTA-FEIRA, 11 DE MARCO DE 2021 Documento assinado digitalmente, original em https://www.dodf.df.gov.br DF, PROCIDADES /DF, natureza de despesa 4.4.90.51, Obras e Instalacoes - fonte 136 - Data e horario de realizacao da licitacao: 09 de abril de 2021 - as 10:30 horas (horario de Brasilia). A Comissao Especial de Licitacao da SDE torna publico aos interessados a abertura da licitacao acima na data e horario indicados, na sede desta SDE, no endereco Setor Comercial Norte, Quadra 02, Bloco C, N 900, 2o andar - Asa Norte - Brasilia - DF. O edital e seus anexos deverao ser retirados conforme instrucoes contidas exclusivamente no endereco eletronico site: http://www.sde.df.gov.br//, na pagina principal, aba licitacoes, bem como, para acesso a outras informacoes acerca do referido certame. Brasilia/DF, 10 de marco de 2021 VALTER DE CERQUEIRA JUNIOR ",
36,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 048 12-03-2021 1,12-03-2021,0006300003664202084,,,,,"AVISO DE ABERTURA DE LICITACAO No 05/2021 - UASG 926334 A Fundacao Hemocentro de Brasilia torna publico a realizacao de Licitacao, por Menor Preco por Item, para Registro de Precos para aquisicao de insumos para quantificacao das celulas-tronco hematopoeticas e para a realizacao de prova cruzada com finalidade de transplante de orgaos, para a Fundacao Hemocentro de Brasilia, de acordo com as condicoes, quantidades e exigencias estabelecidas no Edital e seus anexos; Processo: 0006300003664202084. Valor de R$ 25.999,94 (vinte e cinco mil novecentos e noventa e nove reais e noventa e quatro centavos). Data limite de recebimento das propostas ate as 10:00 horas do dia 25/03/2021. O Edital encontra-se disponibilizado, no sitio: www.gov.br/compras, no sitio www.fhb.df.gov.br e no endereco: Setor Medico Hospitalar Norte-SMHN, Quadra 03, Conjunto A, Bloco 03, Asa Norte CEP 70710-908  Brasilia/DF. A sessao Publica sera processada no dia 25/03/2021 as 10:00 horas no sitio do Compras Governamentais, nos termos do Edital. HENRIQUE SANJIRO YUZUKI FARIAS ",
37,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 049 15-03-2021 1,12 de marco de 2021,0011100007301202012," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para a execucao das obras de
remanejamento de infraestrutura de energia eletrica na Rua 04",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100007301202012 Modalidade/numero: Licitacao Presencial no 48/2020 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para a execucao das obras de remanejamento de infraestrutura de energia eletrica na Rua 04, proximo a Avenida Misericordia e a Chacara 27; na Rua 06 TR 02, proximo a Rua 07; na Rua 08, proximo ao banco BRB e a Chacara 182; e na Rua 12, proximo a Chacara 141, no Setor Habitacional Vicente Pires / RA-XXX  Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco global. Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 06/04/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 12 de marco de 2021 GLAUBER TEODORO FARIA Presidente da Comissao AVISO DE ALTERACAO DA DATA DE ABERTURA DE LICITACAO ",
38,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 050 16-03-2021 1,12 de marco de 2021,0011100008346202004," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para execucao de obras de
<END_OF_BLOCK>
pavimentacao",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100008346202004 Modalidade/numero: Licitacao Presencial no 02/2021 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para execucao de obras de pavimentacao, sinalizacao e drenagem nas vias de acesso e estacionamentos publicos da SQNW 106, Projecoes H e I e da SQNW 102, Projecao L Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 08/04/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 12 de marco de 2021 GLAUBER TEODORO FARIA Presidente da Comissao AVISO DE REVOGACAO DE LICITACAO ",
39,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 054 22-03-2021 1,22-03-2021,,,,,,AVISO DE ABERTURA DE LICITACAO PUBLICA NACIONAL PROJETO BR-L 1076 SDE-DF/BID PROCIDADES PROGRAMA DE DESENVOLVIMENTO ECONOMICO DO ,
40,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 054 22-03-2021 1,18 de marco de 2021,0011100008136202016," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para a execucao das
obras de remanejamento de infraestrutura de energia eletrica na
QNM 34",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100008136202016 Modalidade/numero: Licitacao Presencial no 47/2020 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para a execucao das obras de remanejamento de infraestrutura de energia eletrica na QNM 34, Conjuntos H-2 e I-2, em Taguatinga / RA-III  Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco global, conforme prescricoes contidas no presente documento e ainda em padroes, normas e especificacoes tecnicas vigentes. PAGINA 95 Diario Oficial do Distrito Federal         No 54, SEGUNDA-FEIRA, 22 DE MARCO DE 2021 Documento assinado digitalmente, original em https://www.dodf.df.gov.br Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 15/04/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 18 de marco de 2021 GLAUBER TEODORO FARIA Presidente da comissao O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras  CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100008136202016 Modalidade/numero: Licitacao Presencial no 03/2021 Tipo: Menor Preco Objeto: Contratacao por escopo de empresa especializada com vistas a EXECUCAO DAS OBRAS DE URBANIZACAO E CONSTRUCAO DAS ILHAS OESTE E LESTE DO PARQUE BURLE MARX  SETOR HABITACIONAL NOROESTE SHNW, BRASILIA/DF Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 13/04/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 19 de marco de 2021 GLAUBER TEODORO FARIA Presidente da Comissao SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL SECRETARIA EXECUTIVA ",
41,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 056 24-03-2021 1,24-03-2021,0000100013516202048," menor
preco",,," R$ 144.911,89","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 09/2021 Processo: 0000100013516202048. Objeto: Contratacao de empresa de engenharia especializada para execucao de servicos de reforma dos vestiarios (feminino e masculino), localizados no primeiro subsolo do edificio da Camara Legislativa do Distrito Federal, conforme especificacoes e demais informacoes constantes no Termo de Referencia  Anexo I do Edital. Valor estimado: R$ 144.911,89. Data/hora da Sessao Publica: 08/04/2021, as 09:30h. Local: Internet, no endereco www.comprasnet.gov.br. Tipo: menor preco. O edital encontra-se nos enderecos: www.comprasnet.gov.br (UASG 974004) e www.cl.df.gov.br, no link Portal da Transparencia. Maiores informacoes (61) 3348-8650 ou cpl@cl.df.gov.br. DIRCEU FALCAO DA MOTA NETO ",
42,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 056 24-03-2021 1,23 de marco de 2021,0011100000777202103," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao por escopo de Estudo de Impacto Ambiental
<END_OF_BLOCK>
(EIA) e seu respectivo Relatorio de Impacto Ambiental
<END_OF_BLOCK>
(RIMA) para o parcelamento de solo denominado Setor
<END_OF_BLOCK>
Habitacional Joquei Clube
<END_OF_BLOCK>
Valor estimado (R$):
O valor estimado e sigiloso nos termos do Art",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100000777202103 Modalidade/numero: Licitacao Presencial no 05/2021 Tipo: Menor Preco Objeto: Contratacao por escopo de Estudo de Impacto Ambiental (EIA) e seu respectivo Relatorio de Impacto Ambiental (RIMA) para o parcelamento de solo denominado Setor Habitacional Joquei Clube Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 16/04/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 23 de marco de 2021 GLAUBER TEODORO FARIA ",
43,AVISO DE ABERTURA DE LICITACAO,,2021\03_Março\DODF 056 24-03-2021 1,22 de marco de 2021,0011100007689202043," Menor Preco
<END_OF_BLOCK>
Objeto:
<END_OF_BLOCK>
Contratacao de empresa especializada para a execucao das
<END_OF_BLOCK>
obras de implantacao de infraestrutura de energia eletrica na
<END_OF_BLOCK>
QN 502",,, ,"AVISO DE ABERTURA DE LICITACAO O Presidente da Comissao de Licitacao para Compra de Bens, Servicos e Obras CPLIC/TERRACAP, no uso das atribuicoes que lhe confere a Portaria no 298/2020 - DIRAF, comunica a realizacao do seguinte certame. Processo: 0011100007689202043 Modalidade/numero: Licitacao Presencial no 09/2021 Tipo: Menor Preco Objeto: Contratacao de empresa especializada para a execucao das obras de implantacao de infraestrutura de energia eletrica na QN 502, em Samambaia / RA-XII Distrito Federal, na forma de execucao indireta, sob regime de empreitada por preco global Valor estimado (R$): O valor estimado e sigiloso nos termos do Art. 34 da Lei no 13.303/2016. Data/hora de abertura: 20/04/2021 as, 10 horas Retirada do Edital e anexos: Gratuitamente no sitio da Terracap www.terracap.df.gov.br, na secao licitacoes compras/servicos. Brasilia/DF, 22 de marco de 2021. GLAUBER TEODORO FARIA ",
