,processo_gdf,modalidade_licitacao,numero_licitacao,valor_estimado_contratacao,text,labels
174,092.005500/2019,PREGAO ELETRONICO,,,"PREGAO ELETRONICO PE No 245/2019 Processo : 092.005500/2019 . OBJETO : Registro de precos para a aquisicao da tubulacao de aco carbono de diametro nominal 40 "" ( 1.000 mm ) que sera utilizada na construcao da adutora de agua bruta do sistema de abastecimento de agua Paranoa Sul ( Lago Sul - DF ) . CRITERIO DE JULGAMENTO : Menor Preco . DOTACAO ORCAMENTARIA : UO : 22.202 ; PROGRAMA DE TRABALHO : 17.512.6210.1827/0001 ; NATUREZA DE DESPESA : 44.90.51 ; Codigo de Aplicacao : 22.202.013. 041-4 . FONTE DE RECURSO : Recursos Proprios , CODIGO : 21.203.200. 060-6 . ENTREGA : 90 dias VIGENCIA : 365 dias . ABERTURA : 25/10/2019 , as 09 horas no portal www.comprasnet.gov.br ( UASG : 974200 ) . INFORMACOES : O edital e seus anexos encontram-se disponiveis no site : www.caesb.df.gov.br - menu Licitacoes e no site www.comprasnet.gov.br , a partir do dia 11/10/2019 . Fone : ( 61 ) 3213-7130 , E-mail : l i c i t a c a o @ c a e s b . d f . g o v. b r. SILVIO S. GONCALVES SOARES Pregoeiro ",B-modalidade_licitacao I-modalidade_licitacao O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
175,00392.00003999/2019-46,Pregao Eletronico,16/2019,,"AVISO DE LICITACAO DO PREGAO ELETRONICO No 16/2019 A Companhia de Desenvolvimento Habitacional do Distrito Federal - CODHAB , no uso de suas atribuicoes legais , torna publico , para o conhecimento dos interessados , que fara realizar licitacao na modalidade de PREGAO ELETRONICO N 16/2019 para SISTEMA DE REGISTRO DE PRECOS , do tipo MENOR PRECO , para Aquisicao de Equipamentos Topograficos e Geodesicos na modalidade de Pregao Eletronico , destinados ao Grupo de Trabalho de Topografia e Analises Geograficas / GT- Topografia da CODHAB , de acordo com as especiGcacoes e quantitativos contidos neste Termo de Referencia constante do Anexo I do Edital . Data de abertura : 10h00min do dia 23 de outubro de 2019 . O respectivo edital podera ser retirado no endereco www.comprasnet.gov.br e www.codhab.df.gov.br . Processo no 00392.00003999/ 2019-46 . Informacoes referentes ao certame por meio do site ou por telefone : ( 61 ) 3214.1830 . Brasilia / DF , 09 de outubro de 2019 CLAYTON ARAGAO Presidente da Comissao ",O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
176,001-001438/2019,PREGAO ELETRONICO,41/2019,"22.500,00","AVISO DE ABERTURA DE LICITACAO PREGAO ELETRONICO No 41/2019 Processo : 001-001438/2019 . Objeto Contratacao de empresa especializada para o fornecimento de medicamentos e insumos medico-hospitalares , sob demanda , para atendimento do Setor de Assistencia a Saude da CLDF , conforme Termo de Referencia , Anexo I do Edital . Valor estimado : R$ 22.500,00 . Data / hora da Sessao Publica : 12/12/2019 , as 14:30 . Local : Internet , no endereco www.comprasnet.gov.br . Tipo : maior desconto . O edital encontra-se nos enderecos : www.comprasnet.gov.br ( UASG 974004 ) e www.cl.df.gov.br , no link transparencia . Maiores informacoes ( 61 ) 3348-8650 . Brasilia / DF , 27 de novembro de 2019 DANIEL LUCHINE ISHIHARA Pregoeiro ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
177,1078/2019,Pregao Eletronico,085/2019,,"AVISO DO PREGAO ELETRONICO No 085/2019 O BRB - BANCO DE BRASILIA S.A. torna publica a data de realizacao do Pregao Eletronico no 085/2019 . Data , horario e endereco eletronico para abertura : 11/12/2019 , as 8h , www.comprasgovernamentais.gov.br . Objeto : fornecimento parcelado de aproximadamente 36.120 ( trinta e seis mil cento e vinte ) garrafoes de 20 litros de agua mineral e/ou natural potavel , sem gas , incluindo o servico de entrega , para o consumo das dependencias do BRB - Banco de Brasilia S.A. no exercicio de 2020 . O valor estimado e sigiloso e esta em conformidade com o Art. 34 da Lei no 13.303/2016 . Local de obtencao do edital : www.comprasgovernamentais.gov.br . UASG : 925008 . Processo no 1078/2019 . Carlos F. L Fagundes - Pregoeiro . ",O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O 
178,058/2019,Pregao Eletronico,036/2019,,"AVISO DO PREGAO ELETRONICO No 036/2019 O BRB - BANCO DE BRASILIA S.A. torna publica a data de realizacao do Pregao Eletronico no 036/2019 . Data , horario e endereco eletronico para abertura : 20/12/2019 , as 14h , www.comprasgovernamentais.gov.br . Objeto : a contratacao de Solucao de filtro Web para monitoramento , filtragem e melhoria do desempenho durante o acesso as redes nao confiaveis . O valor estimado esta em conformidade com o Art. 34 da Lei no 13.303/2016 . Local de obtencao do edital : www.comprasgovernamentais.gov.br . UASG : 925008 . Processo no 058/2019 . Rafael Madruga Lopes - Pregoeiro . ",O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O 
179,00070-00006432/2019-91,PREGAO ELETRONICO,,"93.791,70","AVISO DE LICITACAO AVISO DE REABERTURA PREGAO ELETRONICO 11/2019 AMPLA CONCORRENCIA A SECRETARIA DE ESTADO DA AGRICULTURA , ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL - SEAGRI / DF , torna publico que reabre a licitacao do tipo MENOR PRECO POR ITEM na modalidade de PREGAO na forma ELETRONICA , com previsao de abertura do certame para 11/12/2019 , as 09h00 m. Processo no 00070-00006432/ 2019-91 ( SEI ) . OBJETO : Aquisicao de veiculos de passeio com motor 1.0 para serem utilizados pela Diretoria de Inspecao de Produtos de Origem Vegetal e Animal - DIPOVA da SEAGRI / DF , conforme descricao , caracteristicas , prazos , condicoes e demais obrigacoes e informacoes constantes dos Anexos do Edital , com valor Total Estimado de R$ 93.791,70 ( noventa e tres mil , setecentos e noventa e um reais e setenta centavos ) . O Edital podera ser retirado a partir da publicacao no Portal www.comprasgovernamentais.gov.br ou no portal da seagri.df.gov.br , "" Licitacao "" , a partir da sua publicacao e/ou divulgacao . Brasilia / DF , 28 de novembro de 2019 EDILENE DIAS CERQUEIRA Pregoeira ",O O O O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
180,00310-00010898/2019-76,,,,"AVISO DE LICITACAO LIC ALIENACAO CEB-DIS No 001-A001-A01229/2019 ELETRONICO Processo : 00310-00010898/ 2019-76 ; Objeto : ALIENACAO DE BENS INSERVIVEIS : F-1000 , REBOQUE , MOTO ESMERIL , MONTADOR DE RODA , MB 709 , MERCEDES BENS , GM 12000 , GIRAFA ( DE RETIRAR O MOTOR ) , F-4000 , F-12000 SKY , EMPILHADEIRA , ARREBITADEIRA , ENTRE OUTROS . Abertura : 18/12/2019 as 15h . Valor minimo geral : R$ 105.500,00 ( cento e cinco mil e quinhentos reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes pelos telefones 3465-9014/9317/9297 . Brasilia / DF , 28 de novembro de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
181,00310-00010898/2019-76,,,,"AVISO DE LICITACAO LIC ALIENACAO CEB-DIS No 001-A001-A01230/2019 - ELETRONICO Processo : 00310-00010898/ 2019-76 ; Objeto : ALIENACAO DE BENS INSERVIVEIS : IVECO DAILY , S-10 2. 8-CD E REBOQUE DE BOBINA . Abertura : 16/12/2019 as 10h . Valor minimo geral : R$ 130.000,00 ( cento e trinta mil reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes pelos telefones 3465-9014/9317/9297 . Brasilia / DF , 28 de novembro de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
182,00310-00010898/2019-76,,,,"AVISO DE LICITACAO LIC ALIENACAO CEB-DIS No 001-A001-A01231/2019 - ELETRONICO Processo : 00310-00010898/ 2019-76 ; Objeto : ALIENACAO DE BENS INSERVIVEIS : UNO MILLE , S-10 C.D , TOYOTA E TORNO . Abertura : 17/12/2019 as 10h . Valor minimo geral : R$ 73.030,00 ( setenta e tres mil e trinta reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes pelos telefones 3465-9014/9317/9297 . Brasilia / DF , 28 de novembro de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
183,00310-00010898/2019-76,,,,"AVISO DE LICITACAO LIC ALIENACAO CEB-DIS No 001-A001-A01233/2019 - ELETRONICO Processo : 00310-00010898/ 2019-76 : Objeto : ALIENACAO DE BENS INSERVIVEIS : SUCATAS DE CONECTORES , POSTES , MESAS DE MADEIRA , CADEIRAS E OUTROS . Abertura : 19/12/2019 as 10h . Valor minimo geral : R$ 1.437.337,00 ( um milhao e quatrocentos e trinta e sete mil e trezentos e trinta e sete reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes pelos telefones 3465-9014/9317/9297 . Brasilia / DF , 28 de novembro de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
184,00310-00010898/2019-76,,,,"AVISO DE LICITACAO LIC ALIENACAO CEB-DIS No 001-A001-A01234/2019 - ELETRONICO Processo : 00310-00010898/ 2019-76 ; Objeto : ALIENACAO DE BENS INSERVIVEIS : SUCATAS DE CABO DE ALUMINIO E COBRE , TRANSFORMADORES E OUTROS . Abertura : 20/12/2019 as 10h . Valor minimo geral : R$ 11.719.190,00 ( onze milhoes e setecentos e dezenove mil e cento e noventa reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes pelos telefones 3465-9014/9317/9297 . Brasilia / DF , 28 de novembro de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
185,00310-00010488/2019-25,,,"750.000,00","AVISO DE LICITACAO LIC SERVICOS CEB-D No 001-S01185/2019 - ( ELETRONICO ) Processo : 00310-00010488/ 2019-25 ; Objeto : CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE EMISSAO DE BILHETES ELETRONICOS ( E-TICKET COM RESPECTIVO "" CODIGO LOCALIZADOR "" ) DE PASSAGENS AEREAS NACIONAIS E INTERNACIONAIS , CONFORME PROJETO BASICO No GRSG/2019 . Abertura : 20/12/2019 as 15h . Valor global estimado : R$ 750.000,00 ( setecentos e cinquenta mil reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes pelos telefones ( 61 ) 3465-9012/9317 . Brasilia / DF , 28 de novembro de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
186,092.006222/2019,PREGAO ELETRONICO,,,"AVISO DE LICITACAO PREGAO ELETRONICO PE No 286/2019 Processo : 092.006222/2019 . OBJETO : Registro de precos para aquisicao de tubos de PVC para obras de Esgoto no Setor Habitacional Sol Nascente , Brasilia-DF ( tubo PVC coletor esgoto ) . CRITERIO DE JULGAMENTO : Menor Preco ; DOTACAO ORCAMENTARIA : UO : 22.202 ; PROGRAMA DE TRABALHO : 17.512.6210.1832/0001 ; NATUREZA DE DESPESA : 44.90.51 ; Codigo de Aplicacao : 22.204.013. 021-5 . FONTE DE RECURSO : Recursos Proprios , CODIGO : 21.101.100. 000-6 . ENTREGA : 30/45 dias . VIGENCIA : 365 dias . ABERTURA : 12/12/2019 , as 09 horas no site www.comprasnet.gov.br ( UASG : 974200 ) . INFORMACOES : O edital e seus anexos encontram-se disponiveis no site : www.caesb.df.gov.br - menu Licitacoes , a partir do dia 29/11/2019 . Fone : ( 61 ) 3213-7130 , E-mail : licitacao@caesb.df.gov.br . SILVIO SANTOS GONCALVES SOARES Pregoeiro ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
187,092.005762/2019,PREGAO ELETRONICO,,,"AVISO DE LICITACAO PREGAO ELETRONICO PE No 287/2019 Processo : 092.005762/2019 . OBJETO : Registro de precos para aquisicao de materiais em aco para Adutoras e redes de agua ( parafusos , porcas , dentre outros ) . CRITERIO DE JULGAMENTO : Menor Preco ; DOTACAO ORCAMENTARIA : UO : 22.202 ; PROGRAMA DE TRABALHO : 17.122.6001.8517/6977 ; NATUREZA DE DESPESA : 33.90.30 ; Codigo de Aplicacao : 12.403.402.200- 0 . FONTE DE RECURSO : Recursos Proprios , CODIGO : 11.101.000. 000-3 . ENTREGA : 30 dias . VIGENCIA : 365 dias . ABERTURA : 12/12/2019 , as 09 horas no site www.comprasnet.gov.br ( UASG : 974200 ) . INFORMACOES : O edital e seus anexos encontram-se disponiveis no site : www.caesb.df.gov.br - menu Licitacoes , a partir do dia 28/11/2019 . Fone : ( 61 ) 3213-7429 , E-mail : l i c i t a c a o @ c a e s b . d f . g o v. b r. JULIO CESAR SEGURADO COELHO Pregoeiro ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
188,092.006409/2019,PREGAO ELETRONICO,,,"AVISO DE LICITACAO PREGAO ELETRONICO PE No 288/2019 Processo : 092.006409/2019 . OBJETO : Registro de precos para aquisicao de materiais plasticos , rigidos e flexiveis , para redes de esgoto , PEAD ( tubo PEAD PE 100 de 225 mm , tubo PEAD PE 100 de 180 mm e tubo PEAD PE 100 de 280 mm ) . CRITERIO DE JULGAMENTO : Menor Preco ; DOTACAO ORCAMENTARIA : UO : 22.202 ; PROGRAMA DE TRABALHO : 17.512.6210.7012/6024 ; NATUREZA DE DESPESA : 44.90.51 ; Codigo de Aplicacao : 22.207.013. 021-3 . FONTE DE RECURSO : Recursos Proprios , CODIGO : 21.101.100. 000-6 . ENTREGA : 30 dias . VIGENCIA : 365 dias . ABERTURA : 12/12/2019 , as 09 horas no site www.comprasnet.gov.br ( UASG : 974200 ) . INFORMACOES : O edital e seus anexos encontram-se disponiveis no site : www.caesb.df.gov.br - menu Licitacoes , a partir do dia 29/11/2019 . Fone : ( 61 ) 3213-7233 , E-mail : l i c i t a c a o @ c a e s b . d f . g o v. b r. PAULO CESAR RIBEIRO DOS SANTOS Pregoeiro ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
189,00060-00014711/2019-66,PREGAO ELETRONICO,125/2019,"9.738,4500","AVISO DE ABERTURA PREGAO ELETRONICO POR SRP No 125/2019 - UASG 926119 Objeto : Aquisicao de material medico hospitalar ( CERA PARA OSSO ) , em sistema de registro de precos , para atender as necessidades da Secretaria de Saude - DF , conforme especificacoes e quantitativos constantes no Anexo I do Edital . PROCESSO : 00060-00014711/ 2019-66 . Total de 01 item ( Exclusividade a ME / EPP ) . Valor Estimado : R$ 9.738,4500 . Cadastro das Propostas : a partir de 11/06/2019 . Abertura das Propostas : 25/06/2019 , as 09 horas , horario de Brasilia , no site www.comprasnet.gov.br . O Edital encontra- se disponibilizado sem onus , no site ou com onus no endereco : SAIN - Setor de Areas Isoladas Norte - Parque Rural s / no - Asa Norte - Bloco "" A "" , 1 andar , sala 83 , Central de Compras da SUAG / SES , CEP 70770-200 , Brasilia / DF . PRISCILLA MOREIRA FALCAO FIGUEIREDO Pregoeira ",O O O B-modalidade_licitacao I-modalidade_licitacao O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
190,00063- 00001871/,PREGAO ELETRONICO,15/2019,"28.315,20","AVISO DE LICITACAO PREGAO ELETRONICO No 15/2019 - UASG 926334 Objeto : Registro de precos para eventual aquisicao de materiais tecnicos . Processo no 00063- 00001871/ 2019-61 . Total de 01 item ( s ) . Valor Total Global Estimado : R$ 28.315,20 . Elementos de despesas 33.90.30 . Programa de Trabalho no 10.303.6202.4081.0001 . Fonte de Recursos 138 . Data limite de recebimento das propostas 24/06/2019 , as 10:00 horas . O Edital encontra-se disponibilizado , sem onus , no sitio : www.comprasgovernamentais.gov.br ou www.fhb.df.gov.br , ou com onus no endereco : Setor Medico Hospitalar Norte-SMHN , Quadra 03 , Conjunto A , Bloco 03 , Asa Norte - CEP 70710-908 - Brasilia / DF . A sessao Publica sera processada no sitio do Compras Governamentais , nos termos do Edital . SALOMAO SANCHES LEONEL BATISTA Pregoeiro ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
191,00113.00013882/2019-23,PREGAO ELETRONICO,35-2019,"13.377.900,00","AVISO DE LICITACAO PREGAO ELETRONICO No 35-2019 Objeto : aquisicao de material de consumo - CBUQ - concreto betuminoso usinado a quente - faixa c , conforme especificacoes e condicoes no anexo I do edital , Processo SEI no 00113.00013882/ 2019-23 . Data e horario para recebimento das propostas : ate 9h00min do dia 25 de junho de 2019 , com valor estimado de R$ 13.377.900,00 . Os respectivos editais poderao ser retirados exclusivamente nos enderecos eletronicos www.der.df.gov.br e www.licitacoes-e.com.br . Demais informacoes no proprio edital . Brasilia / DF , 10 de junho de 2018 CELIA MARIA SIQUEIRA LEAL Diretora ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
192,00054-00054700/2018-62,PREGAO ELETRONICO,14/2019,"56.272,89","AVISO DE LICITACAO PREGAO ELETRONICO No 14/2019 ( * ) Processo : 00054-00054700/ 2018-62 . Objeto : Registro de preco para futura aquisicao de balancas de precisao para atender a demanda da Policia Militar do Distrito Federal . Valor estimado : R$ 56.272,89 ( cinquenta e seis mil , duzentos e setenta e dois reais e oitenta e nove centavos ) . Tipo : Menor Preco . Data limite para recebimento das propostas : Dia : 25.06.2019 , as 14h ( horario de Brasilia / DF ) . Unidade Orcamentaria : 170393 ; Fonte de Recursos : 100 ; Programa de Trabalho : 288450903-0036.0053 ; Elemento de Despesa : 4.4.90.52 . Copia do Edital se encontra no sitio www.comprasgovernamentais.gov.br e em www.pm.df.gov.br . UASG : 926016 . Informacoes : 3190- 5555/ 3190-5556 / 3190-5557 / 3190-5559 . Brasilia / DF , 06 de junho de 2019 . STEFANO ENES LOBAO ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
193,00311-00000031/2019-84,,,"199.000,00","AVISO DE LICITACAO LICITACAO CEB-G No 001-S01150/2019 Processo : 00311-00000031/ 2019-84 . Objeto : CONTRATACAO DE SERVICOS PARA F O R N E C I M E N TO DE TIQUETES REFEICAO E ALIMENTACAO PARA EMPREGADOS DA CEB-GERACAO S / A. Abertura : 04/07/2019 , as 10h . Prazo de vigencia : 12 ( doze ) meses . Valor global estimado : R$ 199.000,00 ( cento e noventa e nove mil reais ) . O Edital podera ser adquirido no Portal de Compras da CEB Distribuicao ( http://compras.ceb.com.br ) . Demais informacoes , pelos telefones 3465-9012/9297 . Brasilia / DF , 07 de junho de 2019 . MARCELO ANDRADE CRUZ Presidente da Comissao ",O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
194,113.0000 531/,PREGAO ELETRONICO,20/2019,"3.805.440,00","AVISO DE LICITACAO - NOVA DATA PREGAO ELETRONICO No 20/2019 Objeto : Contratacao de empresa especializada para prestacao de servicos de outsourcing , bem como : a disponibilizacao e instalacao de dispositivos de impressao , copia e digitalizacao ; o suporte tecnico ; a manutencao ; o fornecimento de consumiveis ( exceto papel ) ; treinamento de usuarios ; a gestao de residuos a que se refere a lei 12.305/2010 ( gestao pela propria contratada dos residuos gerados pelo contrato ) ; o fornecimento de sistemas de medicao e controle eletronico capazes de gerenciar os equipamentos e servicos prestados na sede e distritos rodoviarios do DER-DF , BPRV , SIA e Postos Policiais , pelo prazo de 48 ( quarenta e oito ) meses , conforme especificacoes e condicoes no anexo I do edital .. Processo no 113.0000 531/ 2019-52 . Data e horario para recebimento das propostas : ate 09h00min do dia 04 de junho de 2019 , com valor estimado de R$ 3.805.440,00 . Os respectivos editais poderao ser retirados exclusivamente nos enderecos eletronicos www.der.df.gov.br e www.licitacoes-e.com.br . Demais informacoes no proprio edital . Brasilia / DF , 20 de maio de 2019 CELIA MARIA SIQUEIRA LEAL Diretora ",O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
195,00054-00075289/2018-69,PREGAO ELETRONICO,45/2018,,"AVISOS DE LICITACAO PREGAO ELETRONICO No 45/2018 Processo SEI-GDF no 00054-00075289/ 2018-69 . Objeto : Registro de precos para futura aquisicao de materiais diversos de pericia criminal militar , novos e de primeiro uso , conforme especificacoes e quantidades estimadas descritas no anexo A do Termo de Referencia . Valor : R$ 417.566,81 ( quatrocentos e dezessete mil quinhentos e sessenta e seis reais e oitenta e um centavos ) . Tipo : Menor Preco . Data limite para recebimento das propostas : Dia : 04.06.2019 , as 13h30 ( horario de Brasilia / DF ) . Unidade Orcamentaria : 170393 ; Fonte de Recursos : 100 ; Programa de Trabalho : 288450903-0036.0053 ; Elemento de Despesa : 4.4.90.52 . Copia do Edital se encontra no sitio www.comprasgovernamentais.gov.br e em www.pm.df.gov.br . UASG : 926016 . Informacoes : 3190- 5555/ 3190-5556 / 3190-5557 / 3190-5559 . Brasilia / DF , 17 de maio de 2019 . STEFANO ENES LOBAO Ordenador de Despesas ",O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
