,processo,tipo,objeto,CNPJ,valor,valor_total,modo_disputa,texto
24,nan,nan," Pregao Eletronico - Contratacao de empresa especializada na
PRESTACAO DE SERVICO TELEFONICO FIXO COMUTADO (STFC), destinado ao uso do publico
em geral na modalidade Local e Longa Distancia Nacional, com fornecimento de 02 (dois) feixe E1 (60
canais) e sinalizacao R2 digital, com servico de DDR - Discagem Direta a Ramal para 200 (duzentos)
ramais e Instalacao de 28 (vinte e oito) Linhas Diretas nao Residenciais em areas urbanas e rurais dentro
do DF e/ou regiao do entorno, com a devida portabilidade, pelo periodo de 12 (doze) meses, podendo ser
prorrogado na forma da Lei",76.535.764/0001-43,"125.287,28","125.287,28",nan,"
PREGAO ELETRONICO No 04/2018
PROCESSO: 072.000.354/2017. OBJETO: Pregao Eletronico - Contratacao de empresa especializada na
PRESTACAO DE SERVICO TELEFONICO FIXO COMUTADO (STFC), destinado ao uso do publico
em geral na modalidade Local e Longa Distancia Nacional, com fornecimento de 02 (dois) feixe E1 (60
canais) e sinalizacao R2 digital, com servico de DDR - Discagem Direta a Ramal para 200 (duzentos)
ramais e Instalacao de 28 (vinte e oito) Linhas Diretas nao Residenciais em areas urbanas e rurais dentro
do DF e/ou regiao do entorno, com a devida portabilidade, pelo periodo de 12 (doze) meses, podendo ser
prorrogado na forma da Lei. A EMATER-DF informa a ADJUDICACAO e HOMOLOGACAO final do
certame, com fulcro no Decreto no 5.450/2005, DE 31/05/2005, dos Grupos 01 e 02 a empresa OI S.A. -
EM RECUPERACAO JUDICIAL, CNPJ no 76.535.764/0001-43, no valor total de R$ 125.287,28 (cento
e vinte e cinco mil e duzentos e oitenta e sete reais e vinte e oito centavos). Assina: Joao de Deus Abreu
Soares - Pregoeiro"
25,00050-00012995/2018-11, Menor Preco," Registro de Precos para
futura aquisicao de materiais para manutencao e conservacao de bens imoveis (materiais hidraulicos),
visando atender o Sistema Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado de
Seguranca Publica",28.128.604/0001-37,"13,98","13,98",nan,"
PREGAO ELETRONICO No 07/2019
PROCESSO SEI-GDF: 00050-00012995/2018-11. TIPO: Menor Preco. OBJETO: Registro de Precos para
futura aquisicao de materiais para manutencao e conservacao de bens imoveis (materiais hidraulicos),
visando atender o Sistema Penitenciario do Distrito Federal e os bens imoveis da Secretaria de Estado de
Seguranca Publica. A SSPDF informa, com fulcro no inciso IX do artigo 11, do Decreto no 5.450/2005, a
ADJUDICACAO do item 3 a Elite Comercio e Servicos Ltda. CNPJ 15.329.152/0001-00, no valor unitario
de R$ 13,98; dos itens 2 e 6, a Comercio de Materiais de Construcoes Cavalheiros Ltda. CNPJ:
21.875.005/0001-38, R$ 7,00, R$ 36,14; dos itens 5 e 8 a Nova Atacadista Para Construcao Ltda. CNPJ
26.392.294/0001-38, R$ 131,80, R$ 168,98; dos itens 4 e 9 a Sul.com Atacado e Varejo Ltda. CNPJ
26.469.541/0001-57, R$2,25, R$ 1,73; dos itens 1 e 7 a Fenix Material de Construcao Ltda. CNPJ
28.128.604/0001-37, R$ 7,69, R$ 242,73. A SSPDF Informa ainda a HOMOLOGACAO do certame com
fulcro no inciso VI, do Artigo 8o, do Decreto no 5.450/2005. De acordo com o item 2.6.1 do Edital ficam
as adjudicatarias CONVOCADAS para assinarem a Ata de Registro de Precos, no prazo de 3 dias uteis a
contar desta publicacao"
26,nan,nan," Pregao Eletronico - Aquisicao de material para Manutencao
de Veiculos (Pneus Automotivos e oleo para motor e transmissao)",nan,"29.100,00","29.100,00",nan,"
PREGAO ELETRONICO No 02/2019
Processo: 00072.0005869/2018-71. Objeto: Pregao Eletronico - Aquisicao de material para Manutencao
de Veiculos (Pneus Automotivos e oleo para motor e transmissao). A EMATER-DF informa a
ADJUDICACAO e HOMOLOGACAO final do certame, com fulcro no Decreto no 5.450/2005, DE
31/05/2005, dos Itens 01, 02, 03 e 04 a empresa BBW do Brasil Comercio de Pneumaticos EIRELI,
CNPJ no 17450564/0001-29, no valor total de R$ 29.100,00 (vinte e nove mil e cem reais).Itens 05
e 06 a empresa Store do Brasil Ltda, CNPJ 13990290/0001-00, no valor total de R$ 12.320,37 (doze
mil e trezentos e vinte reais e trinta e sete centavos). Assina: LUCIANA DE ANDRADE CAMPOS
- Pregoeira"
27,00050-00048214/2018-18, Menor Preco," Registro de precos para futura
aquisicao de cartuchos de toner para impressora multifuncional marca Brother, modelo MFC-8952DW,
a fim de atender demanda da Secretaria de Estado de Seguranca Publica",01.251.189/0001-58,nan,"255,00",nan,"
PREGAO ELETRONICO No 33/2018
PROCESSO: 00050-00048214/2018-18. TIPO: Menor Preco. OBJETO: Registro de precos para futura
aquisicao de cartuchos de toner para impressora multifuncional marca Brother, modelo MFC-8952DW,
a fim de atender demanda da Secretaria de Estado de Seguranca Publica. A SSPDF informa, com
fulcro no inciso IX do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do objeto do certame
a CGF Comercio de Produtos de Informatica, Escritorio e Servicos Ltda., CNPJ 01.251.189/0001-58,
no preco unitario de R$ 255,00; e a HOMOLOGACAO do certame com fulcro no inciso VI, do
Artigo 8o, do Decreto no 5.450/2005"
28,00072-00000155/2019-57,nan," Pregao Eletronico - Contratacao de empresa para
prestacao de servicos para organizacao da AgroBrasilia, a ser realizada no periodo de 14 a 18 de maio de
2019, e de metodos coletivos regionais, a serem realizados sob demanda e em regime de empreitada,
compreendendo planejamento operacional, organizacao, execucao e acompanhamento, fornecimento de
bens, montagem de infraestrutura, mao de obra e apoio logistico, independentemente da prestacao de
servicos concomitantes, conforme especificacoes deste Edital e seus Anexos",07.851.262/0001-09,nan,"33.200,00",nan,"
PREGAO ELETRONICO No 03/2019
Processo SEI: 00072-00000155/2019-57. Objeto: Pregao Eletronico - Contratacao de empresa para
prestacao de servicos para organizacao da AgroBrasilia, a ser realizada no periodo de 14 a 18 de maio de
2019, e de metodos coletivos regionais, a serem realizados sob demanda e em regime de empreitada,
compreendendo planejamento operacional, organizacao, execucao e acompanhamento, fornecimento de
bens, montagem de infraestrutura, mao de obra e apoio logistico, independentemente da prestacao de
servicos concomitantes, conforme especificacoes deste Edital e seus Anexos. EMATER-DF informa a
ADJUDICACAO parcial, com fulcro no inciso IX do Artigo 11 do Decreto no 5.450/2005, as empresas:
Grupo 1 - JOSE BONIFACIO GONCALVES DA SILVA CNPJ 04.826.064/0001-05 - R$ 33.200,00 (trinta
e tres mil e duzentos reais); Grupo 3 - MV EVENTOS ARTISTICOS E ESPORTIVOS - EIRELI CNPJ
07.851.262/0001-09 - R$ 3.598,00 (tres mil quinhentos e noventa e oito reais), Grupo 4 - JOSE
BONIFACIO GONCALVES DA SILVA CNPJ 04.826.064/0001-05 - R$ 7.448,98 (sete mil quatrocentos e
quarenta e oito reais e noventa e oito centavos); Grupo 5 - JOSE BONIFACIO GONCALVES DA SILVA
CNPJ 04.826.064/0001-05 - R$ 5.480,00 (cinco mil quatrocentos e oitenta reais); Grupo 6 - MV
EVENTOS ARTISTICOS E ESPORTIVOS - EIRELI CNPJ 07.851.262/0001-09 R$ 13.237,47 (treze mil
duzentos e trinta e sete reais e quarenta e sete centavos); Grupo 7 - RD7 PRODUCOES DE EVENTOS
INTELIGENTES EIRELI CNPJ 13.325.593/0001-08 - R$ 81.050,00 (oitenta e um mil cinquenta reais);
Item 31 - MV EVENTOS ARTISTICOS E ESPORTIVOS - EIRELI CNPJ 07.851.262/0001-09 - R$
12.000,00 (doze mil reais); Item 32 - MV EVENTOS ARTISTICOS E ESPORTIVOS - EIRELI CNPJ
07.851.262/0001-09 - R$ 1.422,00 (um mil quatrocentos e vinte e dois reais), bem como, a
HOMOLOGACAO do certame, de acordo com o inciso VI do Artigo 8o do citado Decreto. Assina:
LUCIANA DE ANDRADE CAMPOS, Pregoeira"
29,00050-00020438/2018-65, Menor Preco," Registro de Precos de material
para manutencao de bens imoveis para as unidades prisionais do Sistema Penitenciario do Distrito Federal
(REPETICAO DOS ITENS FRACASSADOS NO PREGAO No 03/2019), por meio da Secretaria de
Estado de Seguranca Publica do Distrito Federal",26.392.294/0001-38,"70,65","70,65",nan,"
PREGAO ELETRONICO No 11/2019
PROCESSO: 00050-00020438/2018-65. TIPO: Menor Preco. OBJETO: Registro de Precos de material
para manutencao de bens imoveis para as unidades prisionais do Sistema Penitenciario do Distrito Federal
(REPETICAO DOS ITENS FRACASSADOS NO PREGAO No 03/2019), por meio da Secretaria de
Estado de Seguranca Publica do Distrito Federal. A SSPDF informa, com fulcro no inciso IX do artigo 11,
do Decreto no 5.450/2005, a ADJUDICACAO do item 1 certame a Cemaco Comercio de Materiais de
Construcao LTDA, CNPJ 26.500.918/0001-93, no valor unitario de R$ 70,65; e do item 2 a Nova
Atacadista para Construcao LTDA, CNPJ 26.392.294/0001-38, no valor unitario de R$ 110,30; e a
HOMOLOGACAO do certame com fulcro no inciso VI, do Artigo 8o, do Decreto no 5.450/2005"
30,00072-00000155/2019-57,nan," Pregao Eletronico - Contratacao de empresa para prestacao de
servicos para organizacao da AgroBrasilia, a ser realizada no periodo de 14 a 18 de maio de 2019, e de
metodos coletivos regionais, a serem realizados sob demanda e em regime de empreitada, compreendendo
planejamento operacional, organizacao, execucao e acompanhamento, fornecimento de bens, montagem de
infraestrutura, mao de obra e apoio logistico, independentemente da prestacao de servicos concomitantes,
conforme especificacoes deste Edital e seus Anexos",26.418.988/0001-05,nan,"72.744,00",nan,"
PREGAO ELETRONICO No 003/2019
Processo: 00072-00000155/2019-57. Objeto: Pregao Eletronico - Contratacao de empresa para prestacao de
servicos para organizacao da AgroBrasilia, a ser realizada no periodo de 14 a 18 de maio de 2019, e de
metodos coletivos regionais, a serem realizados sob demanda e em regime de empreitada, compreendendo
planejamento operacional, organizacao, execucao e acompanhamento, fornecimento de bens, montagem de
infraestrutura, mao de obra e apoio logistico, independentemente da prestacao de servicos concomitantes,
conforme especificacoes deste Edital e seus Anexos. EMATER-DF informa a ADJUDICACAO
complementar, com fulcro no inciso IX do Artigo 11 do Decreto no 5.450/2005, a empresa: Grupo 2 -
XAVIER LIMA COMERCIAL EIRELI CNPJ 26.418.988/0001-05 - R$ 72.744,00 (setenta e dois mil
setecentos e quarenta e quatro reais), bem como, a HOMOLOGACAO do certame, de acordo com o inciso
VI do Artigo 8o do citado Decreto. Assina: Denise Andrade da Fonseca"
31,00050-00006354/2018-19, Menor Preco," Registro de Precos para
futura aquisicao de racao canina superpremium para caes da Diretoria Penitenciaria de Operacoes Especiais
da Subsecretaria do Sistema Penitenciario do Distrito Federal",07.764.000/0001-07,"220,00","220,00",nan,"
PREGAO ELETRONICO No 01/2019
PROCESSO SEI-GDF: 00050-00006354/2018-19. TIPO: Menor Preco. OBJETO: Registro de Precos para
futura aquisicao de racao canina superpremium para caes da Diretoria Penitenciaria de Operacoes Especiais
da Subsecretaria do Sistema Penitenciario do Distrito Federal. A SSPDF informa, com fulcro no inciso IX
do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do item 1 a Autarquia Comercio e Saude
Animal Ltda, CNPJ 07.764.000/0001-07, no valor unitario de R$ 220,00. A empresa adjudicataria esta
convocada para assinar a Ata de Registro de Precos conforme item 2.7.1 do Edital. A SSPDF Informa
ainda a HOMOLOGACAO do certame com fulcro no inciso VI, do Artigo 8o, do Decreto no
5.450/2005"
32,nan, Menor Preco,nan,nan,nan,"2.009.358,00",nan,"
PREGAO ELETRONICO No 31/2018 - SRP
Processo: 054.000.333/2015-PMDF. Tipo: Menor Preco. O Departamento de Saude e Assistencia ao
Pessoal informa a adjudicacao e a homologacao de pregao eletronico, respectivamente conforme art. 11,
IX, e art. 8o, VI, do Decreto Federal no 5.450/2005, para registro de precos de servicos continuados de
apoio tecnicos especializados em saude bucal com fornecimento de insumos e mao de obra junto a empresa
CONGONHAS AIR SMILE ODONTOLOGIA LTDA, CNPJ: 07.742.333/001-35, pelo valor total do
fornecedor de R$ 2.009.358,00 (dois milhoes nove mil trezentos e cinquenta e oito reais) para o grupo 1"
33,nan,nan,nan,nan,nan,nan,nan,"
PREGAO ELETRONICO No 19/2018"
34,00050-00053488/2018-29, Menor Preco," Aquisicao de vestuario e produtos
de higiene e limpeza para os recem-nascidos que ocupam a Ala Materno Infantil da Penitenciaria Feminina
do Distrito Federal, para atender demandas da Secretaria de Estado de Seguranca Publica do Distrito
Federal",28.719.518/0001-07,"1.209,60","1.209,60",nan,"
PREGAO ELETRONICO No 15/2019
PROCESSO: 00050-00053488/2018-29. TIPO: Menor Preco. OBJETO: Aquisicao de vestuario e produtos
de higiene e limpeza para os recem-nascidos que ocupam a Ala Materno Infantil da Penitenciaria Feminina
do Distrito Federal, para atender demandas da Secretaria de Estado de Seguranca Publica do Distrito
Federal. A SSPDF informa, com fulcro no inciso IX do artigo 11o, do Decreto no 5.450/2005, a
ADJUDICACAO do item 1 a empresa Ibex Comercial de Alimentos LTDA., CNPJ 29.511 . 0 2 6 / 0 0 0 1 - 8 6 ,
no valor total de R$ 1.209,60; dos itens 11 a 14 e 23 a 27 a empresa Comercial Debeche Textil Eireli,
CNPJ 08.974.702/0001-88 no valor total de R$ 18.918,96; dos itens 5, 7, 9, 15, 16, 17, 28, 29 e 32 a
empresa AZZ Comercial Eireli, CNPJ 15.449.518/0001-8, no valor total de R$ 14.742,40; dos itens 2, 4,
8, 10, 18, 21 e 22 a empresa Gabriel Fary, CNPJ 27.517.454/0001-9, no valor total de R$ 9.513,40; dos
itens 19, 20, 30 e 31 a empresa Perfil Esporte LTDA., CNPJ 27.593.146/0001-44 , no valor total de R$
11.468,40; do item 3 a empresa Charlei Boni, CNPJ 28.719.518/0001-07, no valor total de R$ 2.582,40;
do item 6 a empresa Tatiana Priscila da Conceicao Souza, no valor total de R$ 1.035,60. Informa ainda a
HOMOLOGACAO do certame com fulcro no inciso IX do Artigo 11, do Decreto no 5.450/2005"
35,00050-00021505/2018-69, Menor Preco," Registro de Precos para futura
aquisicao de pastas, blocos de anotacoes, cartoes de identificacao em PVC e alvos para tiro, para atender
demanda das unidades da Secretaria de Estado de Seguranca Publica do Distrito Federal",81.475.196/0001-72,"1,31","1,31",nan,"
PREGAO ELETRONICO No 30/2018
Processo: 00050-00021505/2018-69. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de pastas, blocos de anotacoes, cartoes de identificacao em PVC e alvos para tiro, para atender
demanda das unidades da Secretaria de Estado de Seguranca Publica do Distrito Federal. A SSPDF
informa, com fulcro no inciso IX do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do item 4
a Print Graf - Grafica e Editora Eireli, CNPJ: 05.953.553/0001-82, no valor unitario de R$ 1,31; do item
5 a Unique Brasil Grafica e Editora Ltda, CNPJ: 08.839.695/0001-01, no valor unitario de R$ 1,97; do
item 2 a D & R Comercio de Bolsas e Acessorios Ltda, CNPJ: 09.674.711/0001-16, no valor unitario de
R$ 9,60; dos itens 3 e 7 a Meta Sinalizacao Visual Eireli, CNPJ: 17.978.226/0001-64, nos valores unitarios
de R$ 1,25 e R$ 0,42, respectivamente; do item 1 a BSA Tecnologia e Solucoes Ltda, CNPJ:
81.475.196/0001-72, no valor unitario de R$ 25,00. A SSPDF Informa ainda a HOMOLOGACAO do
certame com fulcro no inciso VI, do Artigo 8o, do Decreto no 5.450/2005. De acordo com o item 2.7.1 do
Edital ficam as adjudicatarias CONVOCADAS para assinarem a Ata de Registro de Precos, no prazo de
3 dias uteis a contar desta publicacao"
36,nan,nan," Pregao Eletronico -Pregao Eletronico - Contratacao de
empresa especializada na prestacao de servicos graficos para confeccao e impressao de banner, cartilhas,
livretos, folderes e confeccao de placas sinalizadoras para atender as necessidades da Empresa de
Assistencia Tecnica e Extensao Rural do Distrito Federal Emater-DF",24.929.143/0001-40,"1.045,00","1.045,00",nan,"
PREGAO ELETRONICO No 16/2018
Processo SEI no 0072-000292/2017. Objeto: Pregao Eletronico -Pregao Eletronico - Contratacao de
empresa especializada na prestacao de servicos graficos para confeccao e impressao de banner, cartilhas,
livretos, folderes e confeccao de placas sinalizadoras para atender as necessidades da Empresa de
Assistencia Tecnica e Extensao Rural do Distrito Federal Emater-DF. A EMATER-DF informa a
ADJUDICACAO e HOMOLOGACAO final do certame, com fulcro no Decreto no 5.450/2005, de
31/05/2005, Item I - SILK BRINDES COMUNICACAO VISUAL, PUBLICIDADE, PROPAGAND,
CNPJ 19.814.481/0001-05 no valor total de R$ 1.045,00 (um mil e quarenta e cinco reais): Item 02 -
CONTINENTAL EDITORA E GRAFICA LTDA, CNPJ no 24.929.143/0001-40, no valor total de R$
141.870,0000 (cento e quarenta e um mil e oitocentos e setenta reais)"
37,nan,nan," Pregao Eletronico - Aquisicao de dispositivo portatil de
GPS, conforme especificacoes constantes no Termo de Referencia, anexo I",81.433.039/0001-02,"39.197,99","39.197,99",nan,"
PREGAO ELETRONICO No 05/2019
Processo SEI no 00072-0000859/2019-20. Objeto: Pregao Eletronico - Aquisicao de dispositivo portatil de
GPS, conforme especificacoes constantes no Termo de Referencia, anexo I. A EMATER-DF informa a
ADJUDICACAO e HOMOLOGACAO final do certame, com fulcro no Decreto no 5.450/2005, de
31/05/2005, a empresa SUPORTE MANUTENCAO PARA COMPUTADORES LTDA, CNPJ no
81.433.039/0001-02, no valor total de R$ 39.197,99 (trinta e nove mil e cento e noventa e sete reais e
noventa e nove centavos)"
38,00050-00153415/2017-55, Menor Preco," Aquisicao de mangueiras de
incendio, redutores, esguichos e chaves de mangueira visando atender as necessidades das unidades
prisionais",19.897.713/0001-28,"66.090,83","66.090,83",nan,"
PREGAO ELETRONICO No 22/2018
PROCESSO: 00050-00153415/2017-55. TIPO: Menor Preco. OBJETO: Aquisicao de mangueiras de
incendio, redutores, esguichos e chaves de mangueira visando atender as necessidades das unidades
prisionais. A SSPDF informa, com fulcro no inciso IX do artigo 11o, do Decreto no 5.450/2005, a
ADJUDICACAO dos itens 1,2,3,4 e 5 a empresa Ricardo Alves Ramos de Brito Extintores, CNPJ
19.897.713/0001-28, no valor total de R$ 66.090,83. Informa ainda a HOMOLOGACAO do certame
com fulcro no inciso VI do Artigo 8o, do Decreto no 5.450/2005"
39,nan, Menor Preco,nan,29.926.189/0001-20,nan,"3.200,00",nan,"
PREGAO ELETRONICO No 27/2018 - SRP
Processo: 0054-000602/2018. Tipo: Menor Preco. O Departamento de Saude e Assistencia ao Pessoal
informa a adjudicacao e a homologacao de pregao eletronico para registro de precos, respectivamente
conforme art. 11, IX, e art. 8o, VI, do Decreto Federal no 5.450/2005, para a aquisicao de material
permanente (equipamentos para o laboratorio de analises clinicas), junto a empresa LIMATEC
INDUSTRIA E SERVICOS EIRELI, CNPJ: 13.825.298/0001-10, pelo valor total do fornecedor de R$
3.300,00 (tres mil e trezentos reais) para o item 3; junto a empresa NATIVA LAB PRODUTOS
LABORATORIAIS EIRELI, CNPJ: 17.930.162/0001-21, pelo valor total do fornecedor de R$ 3.200,00
(tres mil e duzentos reais) para os itens 1 e 7; junto a empresa ILMA CHAVES PEREIRA 74191209604,
CNPJ: 19.026.964/0001-37, pelo valor total do fornecedor de R$ 4.498,94 (quatro mil quatrocentos e
noventa e oito reais e noventa e quatro centavos) para o item 2; junto a empresa VITALABE
EQUIPAMENTOS LABORATORIAIS LTDA, CNPJ: 19.142.596/0001-92, pelo valor total do fornecedor
de R$ 3.887,99 (tres mil oitocentos e oitenta e sete reais e noventa e nove centavos) para os itens 4 e
6; e junto a empresa SIS COMERCIO DE MATERIAIS E EQUIPAMENTOS LTDA, CNPJ:
29.926.189/0001-20, pelo valor total do fornecedor de R$ 1.758,00 (um mil setecentos e cinquenta e oito
reais) para o item 8; resultando em valor global da ata de R$ 16.644,93 (dezesseis mil seiscentos e
quarenta e quatro reais e noventa e tres centavos). Os Termos de Adjudicacao e de Homologacao estao
disponiveis no sitio www.comprasgovernamentais.gov.br, UASG 926670"
40,nan, Menor Preco,nan,14.499.338/0001-44,nan,"36.180,00",nan,"
PREGAO ELETRONICO No 1/2019 - SRP
Processo: 0054-000116/2018. Tipo: Menor Preco. O Departamento de Saude e Assistencia ao Pessoal
informa a adjudicacao e a homologacao de pregao eletronico para registro de precos, respectivamente
conforme art. 11, IX, e art. 8o, VI, do Decreto Federal no 5.450/2005, para a aquisicao de material de
consumo para Unidade de Pronto Atendimento, junto a empresa AARO COMERCIO, DISTRIBUICAO
E SERVICOS EIRELI, CNPJ: 02.566.043/0001-64, pelo valor total do fornecedor de R$ 36.180,00 (trinta
e seis mil cento e oitenta reais) para o item 14; junto a empresa BIOPLASMA PRODUTOS PARA
LABORATORIO E CORRELATOS LTDA, CNPJ: 04.086.552/0001-15, pelo valor total do fornecedor de
R$ 14.395,90 (catorze mil trezentos e noventa e cinco reais e noventa centavos) para os itens 2, 3, 4, 5,
6, 7 e 8; junto a empresa M P - COMERCIO DE MATERIAIS HOSPITALARES LTDA, CNPJ:
07.499.258/0001-23, pelo valor total do fornecedor de R$ 153.090,00 (cento e cinquenta e tres mil e
noventa reais) para o item 9; junto a empresa CAPROMED FARMACEUTICA LTDA, CNPJ:
13.085.369/0001-96, pelo valor total do fornecedor de R$ 23.618,34 (vinte e tres mil seiscentos e dezoito
reais e trinta e quatro centavos) para o item 16; e junto a empresa CRISTIANE MABEL TEIXEIRA
05498863624, CNPJ: 14.499.338/0001-44, pelo valor total do fornecedor de R$ 10.512,00 (dez mil
quinhentos e doze reais) para o item 1; resultando em valor global da ata de R$ 237.796,24 (duzentos
e trinta e sete mil setecentos e noventa e seis reais e vinte e quatro centavos). Os Termos de Adjudicacao
e de Homologacao estao disponiveis no sitio www.comprasgovernamentais.gov.br, UASG 926670"
41,00050-00023675/2018-88, Menor Preco," Aquisicao de cameras
fotograficas, tripes para cameras, lentes para cameras fotograficas, microfones lapela, rebatedores de luz
portateis, iluminadores universais com tripes, banquetas dobraveis, mesas, coolers, kits desastres, torres de
iluminacao, lapis de cor, giz de cera, bones do tipo gorro, cavalete flip-chart, trenas digital a laser, GPS,
lanternas taticas, megafones, micro cameras, para atender demandas de unidades da Secretaria de Estado
de Seguranca do Distrito Federal, conforme especificacoes, condicoes e exigencias do Termo de Referencia
que segue como Anexo I do Edital",27.307.079/0001-54,"1.244,90","1.244,90",nan,"
PREGAO ELETRONICO No 44/2018
PROCESSO: SEI-GDF no 00050-00023675/2018-88. TIPO: Menor Preco. OBJETO: Aquisicao de cameras
fotograficas, tripes para cameras, lentes para cameras fotograficas, microfones lapela, rebatedores de luz
portateis, iluminadores universais com tripes, banquetas dobraveis, mesas, coolers, kits desastres, torres de
iluminacao, lapis de cor, giz de cera, bones do tipo gorro, cavalete flip-chart, trenas digital a laser, GPS,
lanternas taticas, megafones, micro cameras, para atender demandas de unidades da Secretaria de Estado
de Seguranca do Distrito Federal, conforme especificacoes, condicoes e exigencias do Termo de Referencia
que segue como Anexo I do Edital. A SSPDF informa, com fulcro no inciso V do artigo 8 e inciso IX do
artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do item 5 a Isaltec Comercio de Instrumentos de
Medicao Ltda., CNPJ 01.682.745/0001-40, no valor total de R$ 1.244,90; dos itens 6 e  7 a R  & R
Equipamentos Eletronicos Eireli, CNPJ 10.806.106/0001-30, no valor total de R$ 2.544,00; dos itens 9, 10,
11, 13, 15, e 20 a Grandes Marcas de Materiais e Equipamentos Eireli, CNPJ 14.396.046/0001-86, no valor
total de R$ 18.139,73; dos itens 1, 4 e 21 a 3M Gerenciamento Empresarial - Eireli, CNPJ
19.695.042/0001-12, no valor total de R$ 19.088,95; do item 19 a Adriana Ceve Comercio de Produtos
Diversos; CNPJ 21.849.320/0001-90, no valor total de R$ 41.760,00; do item 8 a Solux Distribuidora
Eireli, CNPJ 23.291.920/0001-01, no valor total de R$ 3.559,00; do item 3 a Prisma Comercio Varejista
e Atacadista Eireli, CNPJ 24.583.804/0001-29, no valor total de R$ 1.000,00; do item 14 a LG Comercio
e Servicos Eireli, CNPJ 27.307.079/0001-54, no valor total de R$ 743,94; do item 18 a SERVARIS
Gerenciamento Empresarial EIRELI; do item 2 a Patric Diego Campos Andrade, CNPJ 31.672.925/0001-
02, no valor total de R$ 3.400,00; totalizando R$ 98.844,56 licitados A SSPDF informa ainda a
HOMOLOGACAO do certame com fulcro no inciso VI do Artigo 8o, do Decreto no 5.450/2005"
42,nan, Menor Preco," Aquisicao de conjuntos de
medalhas do Merito da Seguranca Publica do Distrito Federal e aquisicao de conjuntos de medalhas do
Merito Integracao da Seguranca Publica do Distrito Federal",01.756.582/0001-01,"161.369,71","161.369,71",nan,"
PREGAO ELETRONICO No 18/2019
PROCESSO: 00050-0001991/2019-80. TIPO: Menor Preco. OBJETO: Aquisicao de conjuntos de
medalhas do Merito da Seguranca Publica do Distrito Federal e aquisicao de conjuntos de medalhas do
Merito Integracao da Seguranca Publica do Distrito Federal. A SSPDF informa, com fulcro no inciso IX
do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do GRUPO 1 a Nova Formalta Industria e
Comercio de Materiais Militares EIRELI, CNPJ 14.550.838/0001-63, no valor total de R$ 161.369,71; do
GRUPO 2 a J R Machado Comercio e Servicos ME, CNPJ 01.756.582/0001-01, no valor total de R$
55.256,77; totalizando R$ 216.626,48 licitados A SSPDF informa ainda a HOMOLOGACAO do certame
com fulcro no inciso VI do Artigo 8o, do Decreto no 5.450/2005"
43,00050-00157370/2017-98, Menor Preco," Contratacao de
empresa especializada para a aplicacao presencial de 19",nan,nan,nan,nan,"
PREGAO ELETRONICO No 04/2018
PROCESSO: SEI-GDF no 00050-00157370/2017-98. TIPO: Menor Preco. OBJETO: Contratacao de
empresa especializada para a aplicacao presencial de 19.537 questionarios no territorio do Distrito Federal"
44,nan,nan,nan,nan,nan,nan,nan,"
SELECAO BASEADA NA QUALIDADE (SBQ)
PROCIDADES PROGRAMA DE DESENVOLVIMENTO ECONOMICO
DO DISTRITO FEDERAL - ADES
Processo: 0370-000465/2016. Objeto: Contratacao de Empresa para Elaboracao do Programa de Gestao de
Residuos Solidos nas AREAS de Desenvolvimento Economico - ADE's do Programa PROCIDADES - DF"
