,numero_contrato,processo_gdf,data_escrito,text,labels
548,23/2020,00392-00003273/2020-47,02/08/2021,"EXTRATO DO SEGUNDO TERMO ADITIVO AO CONTRATO Nº 23/2020 Processo : 00392-00003273/ 2020-47 Contratante : Companhia de Desenvolvimento Habitacional do Distrito Federal / CODHAB - CNPJ : 09.335.575/ 0001-30 ; Contratada : UNIK CONSTRUTORA E INCORPORADORA LTDA , inscrita sob o CNPJ : 00.437.182/ 0001-62 . Objeto : O presente termo aditivo tem por objeto aditamento da CLÁUSULA TERCEIRA DO PREÇO DE REFERÊNCIA , em função de reajuste de preço unitário das unidades habitacionais , a fim de viabilizar o empreendimento , para que passe a adotar a redação contida na Cláusula Primeira do presente Termo . Data da Assinatura : 02/08/2021 . Signatários : Pela CODHAB WELLINGTON LUIZ DE SOUZA SILVA , como Diretor Presidente , pela Empresa UNIK CONSTRUTORA E INCORPORADORA LTDA EITOR DOS REIS , como Representante da Contratada . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
549,52/2018,0080-014041/2016,19/08/2021,"EXTRATO DO 3º TERMO ADITIVO AO CONTRATO Nº 52/2018 Processo : 0080-014041/2016 . Partes : SEEDF X SOLLAR ENGENHARIA LTDA . Objeto : registrar o acréscimo de , aproximadamente , 0,87 % ao valor inicial do Contrato nº 52/2018 , que corresponde a R$ 62.652,35 ( sessenta e dois mil , seiscentos e cinquenta e dois reais e trinta e cinco centavos ) , nos termos do inciso I da alínea b do art. 65 da Lei nº 8.666 , de 21 de junho de 1993 , e da Justificativa , passando o Contrato a ter o total de R$ 8.081.278,28 ( oito milhões , oitenta e um mil , duzentos e setenta e oito reais e vinte e oito centavos ) . Unidade Orçamentária : 18101 . Programa de Trabalho : 12.368.6221.3990.0001 . Natureza da Despesa : 4.4.90.51 . Fonte de Recursos : 103 . Nota de Empenho : nº 2021NE03487 , no valor de R$ 64.281,34 ( sessenta e quatro mil , duzentos e oitenta e um reais e trinta e quatro centavos ) , sob o evento nº 400091 , na modalidade Global , cancelada parcialmente pela Nota de Empenho nº 2021NE03585 , emitida em 04/08/2021 , no valor R$ 1.628,99 ( um mil , seiscentos e vinte e oito reais e noventa e nove centavos ) . Evento : 400091 . Modalidade : Global . Valor total do Termo Aditivo : R$ 62.652,35 ( sessenta e dois mil , seiscentos e cinquenta e dois reais e trinta e cinco centavos ) . Vigência : a partir da data de sua assinatura . Assinatura : 19/08/2021 . Assinantes : Pela SEEDF : HÉLVIA MIRIDAN PARANAGUÁ FRAGA . Pela SOLLAR ENGENHARIA LTDA . : MARDEN FREDERICO TOMÁS DA SILVA . ",O O O O O O O O B-numero_contrato O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O 
550,47/2020,0113-000620/2013,19/08/2021,"EXTRATO DE SEGUNDO TERMO ADITIVO AO CONTRATO Nº 47/2020 Processo : 0113-000620/2013 , SIGGO : 042494 ; ESPÉCIE : 2º Termo Aditivo ao Contrato nº 047/2020 ; CONTRATANTE : DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL , CNPJ 00.070.532/ 0001-03 , CONTRATADA : CONSÓRCIO NG / SIGMA , constituído pelas empresas NG ENGENHARIA ECONSTRUÇÕES LTDA . ; CNPJ : 04.326.648/ 0001-03 e SIGMA CONSTRUÇÕES EIRELI . , CNPJ : 20.103.987/ 0001-87 ; OBJETO : Prorrogar por 60 ( sessenta ) dias o prazo de execução do Contrato nº 47/2020 , a partir de 13/08/2021 expirando em 12/10/2021 ; EMBASAMENTO LEGAL : Inciso § 1º e § 2º do art. 57 , Lei nº 8.666/1.993 ; VIGÊNCIA : Início na data da assinatura expirando 30 ( trinta ) dias após o término do prazo de execução em 12/11/2021 ; GARANTIA : .A Contratada deverá estender-se até o final da execução ; DATA DA ASSINATURA : 19/08/2021 ; ASSINANTES : Pelo DER / DF : Eng . FAUZI NACFUR JUNIOR ; Pela Contratada : NG ENGENHARIA E CONSTRUÇÕES LTDA . : LUCIANO NEVES GARCIA eSIGMA CONSTRUÇÕES EIRELI . : ATHUS RODRIGUES DE SOUZA . ",O O O O O O O O B-numero_contrato O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
551,34/2020,00113-00002731/2019-40,23/08/2021,"EXTRATO DO QUARTO TERMO ADITIVO AO CONTRATO Nº 34/2020 Processo : 00113-00002731/ 2019-40 , Espécie : 4º Termo Aditivo ao Contrato nº 034/2020 ; CONTRATANTE : DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL , CNPJ 00.070.532/ 0001-03 , CONTRATADA : CONSÓRCIO DF-001,constituído pelas empresas NG ENGENHARIA E CONSTRUÇÕES LTDA , CNPJ nº 04.326.648/ 0001-03 ; RIO PLATENSE CONSTRUÇÕES PROJETOS E CONSULTORIA LTDA , CNPJ 33.475.526/ 0001-87 ;ARP ENGENHARIA LTDA , CNPJ nº 04.629.063/ 0001-62 ; e LEO BORBA ENGENHARIA LTDA , CNPJ nº 03.716.075/ 0001-61 ; OBJETO : Prorrogar o prazo de paralisação da execução do Contrato nº 034/2020 por mais 90 ( noventa ) dias , a partir de 22/08/2021 expirando em 11/11/2021 ; EMBASAMENTO LEGAL : Art. 8º , Parágrafo Único da Lei 8.666/93 ; DATA DA ASSINATURA : 23/08/2021 ; ASSINANTES : Pelo DER / DF : Eng . FAUZI NACFUR JUNIOR ; Pelas Contratadas ( Consórcio DF-001 ): NG ENGENHARIA E CONSTRUÇÕES LTDA : Eng . LUCIANO NEVES GARCIA ; RIO PLATENSE CONSTRUÇÕES PROJETOS E CONSULTORIA LTDA . : Eng . JOÃO CARLOS PIMENTA ; ARP ENGENHARIA LTDA . : Eng . MARCELO ANDRADA RODRIGUES PIMENTA ; LEO BORBA ENGENHARIA LTDA : Engª MARCELA AIRES BORBA . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
552,22/2020,00095-00000699/2020-01,19 de agosto de 2021,"PRIMEIRO TERMO ADITIVO AO CONTRATO N ° 22/2020 Contrato nº 22/2020 ( 44833648 ) - TCB / TECNO MOBILE COMÉRCIO E DESENVOLVIMENTO DE SOFTWARE E LOCAÇÃO DE EQUIPAMENTOS LTDA . ; CNPJ nº : 19.485.728/ 0001-89 ; Processo 00095-00000699/ 2020-01 ; Data da Publicação do Contrato Original : DODF nº 158 , de 20 de agosto de 2020 , página nº 44 ; Data de Assinatura : 19 de agosto de 2021 ; Objeto : prorrogação do prazo de vigência do ajuste por mais 12 ( doze ) meses , a partir de 18 de agosto de 2021 ; Assinantes : P / TCB Diretor-Presidente CHANCERLEY DE MELO SANTANA - Diretor Administrativo e Financeiro JORGE MAURÍCIO RODRIGUES DA SILVA e P / TECNO MOBILE COMÉRCIO E DESENVOLVIMENTO DE SOFTWARE E LOCAÇÃO DE EQUIPAMENTOS LTDA.VÂNIA APARECIDA HAMMERSCHMIDT - Representante Legal . ",O O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
553,036960/2018,0431-00010907/2018-07,19/08/2021,"EXTRATO DO 3º TERMO ADITIVO AO CONTRATO Nº 036960/2018 Processo : 0431-00010907/ 2018-07 . DAS PARTES : SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL x FUNDAÇÃO DE AMPARO AO TRABALHADOR PRESO DO DISTRITO FEDERAL . DO OBJETO : 1 ) prorrogação do prazo de vigência do contrato por mais 3 ( três ) meses ; 2 ) alterar o contrato nos termos do art. 2º do Decreto Distrital nº 37.121/2016 c / c inc . XXI do art. 37 da Constituição da República , art. 40 , inc . XI e art. 55 , inc . III da Lei n ° 8.666/93 para reajustar o valor da Bolsa de Ressocialização , aplicando-se a variação acumulada nos últimos 12 meses do Índice Nacional de Preços ao Consumidor Amplo ( IPCA ) , referente ao período de maio/2020 a abril/2021 , no percentual de6,759 % . DA DOTAÇÃO ORÇAMENTÁRIA : UO : 17.101 ; PT : 08.421.6217.2426.0065 , ND 33.91.39.79 ; Fonte : 100 , conforme Nota de Empenho nº 2021NE00485 , no valor de R$ 364.417,38 ( trezentos e sessenta e quatro mil quatrocentos e dezessete reais e trinta e oito centavos ) , na modalidade 02-Estimativo , emitida em 18/08/2021 . DA VIGÊNCIA : O presente Termo Aditivo tem a vigência compreendida entre o período de 22/08/2021 a 21/11/2021 . DATA DE ASSINATURA : 19/08/2021 . SIGNATÁRIOS : Pela CONTRATANTE : THIAGO VINÍCIUS PINHEIRO DA SILVA , na qualidade de Secretário Executivo de Desenvolvimento Social da Secretaria de Estado de Desenvolvimento Social do Distrito Federal , e pela CONTRATADA : DEUSELITA PEREIRA MARTINS , na qualidade de Diretora-Executiva . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
554,23/2020,00600-00000148/2020-28,20/08/2021 - Assinam: pelo Contratante,"EXTRATO DO 1º TERMO ADITIVO AO CONTRATO Nº 23/2020 Contratante : Tribunal de Contas do Distrito Federal -CNPJ nº 00.534.560/ 0001-26 - Contratada : ELDEX DISTRIBUIDORA DE JORNAIS E REVISTAS LTDA . - ME - CNPJ nº 10.719.671/ 0001-60 - Objeto : prestação dos serviços de fornecimento de acessos remotos ( login e senha ) a periódicos em geral , em formato digital , sob demanda , para atendimento das necessidades do Tribunal de Contas do Distrito Federal - prorrogação de vigência contratual - Processo nº 00600-00000148/ 2020-28 - Licitação : Pregão Eletrônico nº 23/2020 , regido pela Lei nº 10.520/2002 , pela Lei Complementar nº 123/2006 e , subsidiariamente , pela Lei nº 8.666/1993 , bem como pelas Leis Distritais nº 4.611/2011 e 4.770/2012 , pelos Decretos Distritais nºs 23.460/2002 e 35.592/2014 , pelo Decreto Federal nº 10.024/2019 , recepcionado pelo Distrito Federal pelo Decreto Distrital nº 40.205/2019 , e pelas demais legislações aplicáveis - Fundamento Legal do Aditivo : art. 57 , inciso II , da Lei n ° 8.666/1993 Vigência e Execução : de 26/10/2021 a 25/10/2022 Valor Estimado do Aditivo : R$ 26.550,72 ( vinte e seis mil , quinhentos e cinquenta reais e setenta e dois centavos ) - Unidade Gestora : 20101 - Gestão : 1 - Classificação Orçamentária : 339039 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA - Programa de Trabalho : 01122823185170019 - Fonte de Recursos : 100 - ORDINÁRIO NÃO VINCULADO - Nota de Empenho : 2021NE00021 - Data de Emissão da NE : 12/01/2021 - Valor da NE : R$ 21.756,84 ( vinte e um mil , setecentos e cinquenta e seis reais e oitenta e quatro centavos ) - Data da Assinatura : 20/08/2021 - Assinam : pelo Contratante , Paulo Cavalcanti de Oliveira ; e , pela Contratada , Francisco Eldio Fernandes Alexandre . Data de Publicação dos termos anteriores : Contrato nº 23/2020 ( DODF nº 169 , de 04 de setembro de 2020 pág. 111 ) . ",O O O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
555,41914/2020,00040-00002529/2020-71,31/08/2021,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO Nº 41914/2020 Processo : 00040-00002529/ 2020-71 . A SECRETARIA DE ESTADO DE ECONOMIA DO DISTRITO FEDERAL ( SEEC / DF ) , na qualidade de CONTRATANTE e a MEC-Q COMÉRCIO E SERVIÇOS DE METROLOGIA INDUSTRIAL LTDA , na qualidade de CONTRATADA . DO OBJETO : a ) prorrogar o prazo de vigência do contrato por 12 ( doze ) meses , a partir de 24/10/2021 a 23/10/2022 , nos termos do art. 57 , inciso II , da Lei nº 8.666 , de 21 de junho de 1993 ; e b ) resguardar o direito ao reajuste com fulcro no art. 40 , inciso XI c / c art. 65 , § 8º , ambos da Lei nº 8.666 , de 21 de junho de 1993 , conforme solicitação da contratada e previsto na Cláusula Quinta do Contrato , aplicando-se a variação do Índice Nacional de Preços ao Consumidor Amplo ( IPCA ) apurado pelo Instituto Brasileiro de Geografia e Estatística ( IBGE ) , nos termos do Decreto nº 37.121 , de 16 de fevereiro de 2016 e suas alterações , desde que atendidos os requisitos legais e tão logo seja finalizada a análise desta contratante . DO VALOR : o valor total do contrato é de R$ 83.939,92 ( oitenta e três mil , novecentos e trinta e nove reais e noventa e dois centavos ) . DA DOTAÇÃO ORÇAMENTÁRIA : a ) I Unidade Orçamentária : 19.101 ; II Programa de Trabalho : 04.122.8203.8517.0051 ; III Natureza da Despesa : 33.90.30 ; IV Fonte de Recursos : 100 . O empenho inicial é de R$ 9.499,10 ( nove mil quatrocentos e noventa e nove reais e dez centavos ) conforme Nota de Empenho nº 2021NE07817 , emitida em 16/07/2021 , sob o evento nº 400092 , na modalidade Estimativo ; e b ) I Unidade Orçamentária : 19.101 ; II Programa de Trabalho : 04.122.8203.8517.0051 ; III Natureza da Despesa : 33.90.39 ; IV Fonte de Recursos : 100 . O empenho inicial é de R$ 6.123,05 ( seis mil cento e vinte e três reais e cinco centavos ) conforme Nota de Empenho nº 2021NE07819 , emitida em 16/07/2021 , sob o evento nº 400092 , na modalidade Estimativo . DO PRAZO DE VIGÊNCIA : o presente Termo Aditivo entra em vigência a partir de 24/10/2021 a 23/10/2022 . DA ASSINATURA : 31/08/2021 . DOS SIGNATÁRIOS : Pela SEEC : ANALICE MARQUES DA SILVA , Subsecretária de Compras Governamentais e pela CONTRATADA : MARIO FRANCISCO CIA , na qualidade de Sócio Administrador da Empresa . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
556,170/2020,041.000.640/2020,,"I TERMO ADITIVO AO CONTRATO BRB Nº 170/2020 Contratada : SAES Engenharia LTDA . Objeto Contrato : Serviços de avaliação de bens móveis e imóveis , perícias , topografia e assessoria judiciária . Objeto aditivo : prorrogar por 12 meses . Valor : R$ 40.000,00 . Firmado em : 30/07/2021 . Signatários : Pelo BRB : Cristiane Maria Lima Bukowitz ; Pela Contratada : Cristina Maria Garcia Saes . Processo : 041.000.640/2020 . BRUNO COSTA NUNES . Gerente de Área e.e . ",O O O O O O O B-numero_contrato O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O 
557,63/2020,00054-00101373/2019-26,30/08/2021,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO N ° 63/2020 Processo : 00054-00101373/ 2019-26 PARTES : DF / PMDF x ESTALEIRO STARK MARINE LTDA . Objeto : Prorrogação do prazo de entrega do objeto contratado : 03 ( três ) embarcações militares de casco semirrígido , marca : HIGHFIELD , modelo : PATROL 600 , fabricante : HIGHFIELD / STARK MARINE , bem como a prorrogação do prazo de vigência do contrato , por mais 180 ( cento e oitenta ) dias , ou seja , prazo de entrega até 22/02/2022,e vigência contratualaté 19/04/2022 , com base no Despacho do Chefe do DLF ( Doc . SEI n ° 68467798 ) . VIGÊNCIA : A partir da data de assinatura . ASSINATURA : 30/08/2021 . SIGNATÁRIOS : Pelo DISTRITO FEDERAL : BILMAR ANGELIS DE ALMEIDA FERREIRA , Chefe do Departamento de Logística e Finanças . Pela Contratada : JORGE AUGUSTO DA SILVA VIEIRA , na qualidade de Sócio administrador . ",O O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
558,49/2020,052-00020989/2019-53,04/08/2021,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO DE PRESTAÇÃO DE SERVIÇOS Nº 49/2020 , NOS TERMOS DO PADRÃO Nº 14/2002 Processo : 052-00020989/ 2019-53 . Partes : Distrito Federal / Polícia Civil X Networld Telecomunicações do Brasil Ltda . Objeto : Prorrogação do prazo de vigência do contrato por mais 12 ( doze ) meses , conforme Manifestação Técnica nº 4382/ 2021-Ass . DAG ( 67105996-SEI ) e Despacho ( 67110631-SEI ) , nos termos do artigo 57 , inciso II e § 2º da Lei nº 8.666/93 . DA Vigência : O presente Termo Aditivo entra em vigência a partir da data de sua assinatura . Da Ratificação : Permanecem inalteradas as demais cláusulas do Contrato a que se refere o presente Termo Aditivo . Data de Assinatura : 04/08/2021 . Signatários : PELO DISTRITO FEDERAL : BENITO AUGUSTO GALIANI TIEZZI , na qualidade de Delegado-Geral em exercício . PELA CONTRATADA : MARCOS ANDRE FIGUEIREDO CHAVES , na qualidade de Representante Legal . ",O O O O O O O O O O O O B-numero_contrato O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
559,55/2020-PCDF,052-00008206/2020-05,05/08/2021,"EXTRATO DO PRIMEIRO TERMO ADITIVO AO CONTRATO DE LOCAÇÃO DE IMÓVEL Nº 55/ 2020-PCDF , NOS TERMOS DO PADRÃO Nº 14/2002 Processo : 052-00008206/ 2020-05 . Partes : Distrito Federal / Polícia Civil X Ralbe Arquitetura e Investimentos Ltda . Objeto : Prorrogação do prazo de vigência do contrato por mais 12 ( doze ) meses , bem como a aplicação do reajustamento de preços , passando o contrato a ter o valor total de R$ 371.485,80 ( trezentos e setenta e um mil , quatrocentos e oitenta e cinco reais e oitenta centavos ) , conforme Manifestação 4383/ 2021-Ass . DAG ( 67113464 ) , Despacho ( 67116653 ) e Laudo de Vistoria nº 66738205/2021 - PCDF / DGPC / DAG / DAE ( 66738205 ) . DA Vigência : O presente Termo Aditivo entra em vigência a partir da data de sua assinatura . Da Ratificação : Permanecem inalteradas as demais cláusulas do Contrato a que se refere o presente Termo Aditivo . Data de Assinatura : 05/08/2021 . Signatários : PELO DISTRITO FEDERAL : BENITO AUGUSTO GALIANI TIEZZI , na qualidade de Delegado-Geral em exercício . PELA CONTRATADA : GABRIELLA GIANNA MAZZA , na qualidade de Representante Legal . ",O O O O O O O O O O O O B-numero_contrato I-numero_contrato O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
560,69/2019,00113-00015111/2019-71,31/08/2021;NOME DOS,"EXTRATO DO 2º TERMO ADITIVO AO CONTRATO Nº 69/2019 Processo : 00113-00015111/ 2019-71 ; CONTRATANTE : o DISTRITO FEDERAL , por intermédio do DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL , CNPJ 00.070.532/ 0001-03 ; CONTRATADA : CONSÓRCIO , constituído pelas empresas : SHEMPO INDÚSTRIA E COMÉRCIO EIRELI , EMPRESA LIDER ( 40 % ) , TALENTECH - TECNOLOGIA LTDA ( 40 % ) e PLAN LOCAÇÃO DE PAINEIS LTDA - ME ( 20 % ) ; OBJETO : prorrogação dos prazos de vigência e de execução . DOTAÇÃO ORÇAMENTÁRIA : I - Unidade : 26.205 ; II - Programa de Trabalho : 26.782.6217. 2541-0004 ; III - Natureza da Despesa : 339039 ; IV - Fonte de Recursos : 237/ 437 ; VALOR : R$ 7.260.000,00 ( sete milhões duzentos e sessenta mil reais ) ; PRAZO DE VIGÊNCIA : 12 ( doze ) meses , de 13/09/2021 a 12/09/2022 ; DATA DA ASSINATURA : 31/08/2021;NOME DOS SIGNATÁRIOS : Pelo DER / DF Eng . FAUZI NACFUR JUNIOR e Pela Empresa : CARLOS RISOMAR SOARES DE OLIVEIRA . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito I-data_escrito O O O O O O O O O O O O O O O O O O O O O 
561,13/2020,0113-00016787/2019-81,31/08/2021,"EXTRATO DO QUINTO TERMO ADITIVO AO CONTRATO Nº 13/2020 Processo : 0113-00016787/ 2019-81 ; ESPÉCIE : 5º Termo Aditivo ao Contrato nº 013/2020 ; CONTRATANTE : DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL , CNPJ 00.070.532/ 0001-03 ; CONTRATADA : STRATA ENGENHARIA EIRELI . , CNPJ : 38.743.357/ 0001-32 ; OBJETO : Prorrogar por 60 ( sessenta ) dias o prazo de execução do Contrato nº 013/2020 , a partir de 28/08/2021 expirando em 27/10/2021 ; EMBASAMENTO LEGAL : Inciso I do art. 57 , § 1º e § 2º , Lei nº 8.666/1.993 ; GARANTIA : A garantia apresentada pela contratada deverá estender-se até o final da execução ; DATA DE ASSINATURA : 31/08/2021 ; Pela CONTRATANTE : Eng . FAUZI NACFUR JUNIOR ; Pela CONTRATADA : PAULO ROMEU ASSUNÇÃO GONTIJO . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O 
562,22/2020,00401-00005686/2020-73,30/08/2021,"EXTRATO DO 1º TERMO ADITIVO AO CONTRATO Nº 22/2020 Processo : 00401-00005686/ 2020-73 . Partes : DEFENSORIA PÚBLICA DO DISTRITO FEDERAL - DPDF X GMDF IMÓVEIS - IMOBILIÁRIA . Objeto : Prorrogar o prazo de vigência do contrato nº 22/2020 por mais 12 ( doze ) meses , com base na Orientação Normativa AGU nº 06 , de abril de 2009 e Parecer PGDF nº 871/2018 , compreendendo o período de 01/09/2021 a 31/08/2022 e reajustar o valor do contrato pelo Índice Nacional de Preços ao Consumidor Amplo Especial - IPCA-E , passando o valor total anual do Contrato de R$ 155.748,00 ( cento e cinquenta e cinco mil e setecentos e quarenta e oito reais ) para R$ 169.098,36 ( cento e sessenta e nove mil , noventa e oito reais e trinta e seis centavos ) . Vigência : a partir do dia 01/09/2021 . Assinatura : 30/08/2021 . Signatários : pela DPDF : MARIA JOSÉ SILVA SOUZA DE NÁPOLIS , na qualidade de Defensora Pública-Geral ; pela CONTRATADA : GILSON SILVA MARTINS , na qualidade de Representante Legal . ",O O O O O O O O B-numero_contrato O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_escrito O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
